MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
SR25102201MR,Condominium,18756,18756   Mandan ST #1507,CANYON COUNTRY,91351,1,1.00 (1 0 0 0),,$50.00,50,"$1,100","$1,100","$1,100",430,$2.56,1984,2,"Community,Laundry Area",,1-Year,Unfurnished,747-755-7138,"180,056"
WS25100350MR,,17802,17802  E Edna PL ,COVINA,91722,1,1.00 (1 0 0 0),,$250.00,50,"$1,200","$1,200","$1,200","1,832",$0.66,1958,2,Room,,"1+Year,1-Year,Month-to-Month,Other",,6264191617,"8,697"
IV25101879MR,Townhouse,11150,11150   Glenoaks BLVD #44,PACOIMA,91331,1,1.00 (1 0 0 0),,$0.00,200,"$1,300","$2,000","$1,300",200,$6.50,1988,1,Garage,No,Month-to-Month,Furnished,714-299-7021,"170,443"
SB25104663MR,Single Family,3743,3743  W 132nd  #Rear,HAWTHORNE,90250,1,1.00 (1 0 0 0),,$0.00,,"$1,425","$1,425","$1,425",500,$2.85,1951,0,None,No,1-Year,Unfurnished,213-804-1736,"7,943"
PW25104479MR,Apartment,1809,1809   4th ST #11,LONG BEACH,90802,0,1.00 (1 0 0 0),,$750.00,,"$1,445","$1,395","$1,445",375,$3.85,1951,0,Community,,1-Year,Unfurnished,562-481-7386,"3,484"
25535473,Apartment,1233,1233   Gordon St #6,Los Angeles,90038,0,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",0,$0,1941,1,None,Call,12 Months,Unfurnished,818-268-6854,"5,212"
25536799,,951,951  S Wilton Pl #101,Los Angeles,90019,0,1.00 (0 1 0 0),,,,"$1,500","$1,500","$1,500",350,$4.29,2024,0,"In Unit,Laundry Area",Yes,1+Year,Unfurnished,213-255-1298,0
25537471,Apartment,225,225  N Cordova St #A,Burbank,91505,0,1.00 (1 0 0 0),,,,"$1,500","$1,500","$1,500",300,$5,,0,Community,Yes,"1+Year,1-Year",Unfurnished,310-463-5181,"6,297"
PW25104075MR,Condominium,406,406   Linden AVE #11,LONG BEACH,90802,0,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500","8,646",$0.17,1917,0,Laundry Area,,1-Year,Unfurnished,,"5,015"
25536941,Apartment,649,649  N Rossmore Ave #A202,Los Angeles,90004,0,1.00 (1 0 0 0),,,,"$1,650","$1,650","$1,523",450,$3.38,1924,0,Community,Call,12 Months,Unfurnished,310-710-9361,"6,554"
GD25101505IT,Apartment,6250,6250   Vineland  #4,NORTH HOLLYWOOD,91606,0,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",450,$3.56,1942,0,Community,,1-Year,Unfurnished,818-281-8812,"6,376"
SB25101352MR,Single Family,3229,3229   Locust AVE ,LONG BEACH,90807,0,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,600",360,$4.44,1996,0,None,No,1-Year,Unfurnished,310-491-8617,"7,613"
25537555,Apartment,1522,1522  N Formosa Ave #203,Los Angeles,90046,0,1.00 (1 0 0 0),,,,"$1,604","$1,750","$1,604",,$0,,1,Community,Yes,12 Months,Unfurnished,424-527-6216,"15,076"
DW25080143MR,,8743,8743   Dorian ST ,DOWNEY,90242,0,1.00 (0 1 0 0),,$0.00,25,"$1,650","$1,650","$1,650",450,$3.67,1963,0,None,No,"1-Year,Negotiable",Unfurnished,310-346-7851,"5,414"
SR25104389MR,,20807,20807 1/2  Gault st ,WINNETKA,91306,0,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",334,$4.94,2024,0,"In Kitchen,Inside",,1-Year,Unfurnished,818-935-2228,334
SR25084438MR,Apartment,124,124   S Westmoreland Ave ,LOS ANGELES,90004,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,749","$1,650",650,$2.54,1925,0,"Dryer,Dryer Included,Room,Washer,Washer Included",,1-Year,Unfurnished,818-601-9033,"7,941"
OC25100989MR,,35,35   Argonne AVE #8,LONG BEACH,90803,0,1.00 (1 0 0 0),,$0.00,,"$1,695","$1,695","$1,695",248,$6.83,1957,0,Community,,1-Year,Unfurnished,714-292-2271,"4,500"
GD25102525IT,Apartment,228,228  S Kenwood ST #302,GLENDALE,91205,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,700","$1,700",480,$3.54,1927,0,Community,No,1-Year,Unfurnished,818-437-2433,"7,497"
25533679,Apartment,5541,5541   Newcastle Ave #2,Encino,91316,0,1.00 (1 0 0 0),,$350.00,,"$1,700","$1,700","$1,700",320,$5.31,1965,0,"Laundry Area,Community",Yes,12 Months,Furnished,580-695-6311,"30,602"
25535735,Apartment,5541,5541   Newcastle Ave #18,Encino,91316,0,1.00 (1 0 0 0),,$350.00,,"$1,750","$1,750","$1,750",320,$5.47,1965,0,"Laundry Area,Community",Yes,12 Months,Furnished,580-695-6311,"30,602"
25535403,,335,335  S Berendo St #B300,Los Angeles,90020,1,1.00 (1 0 0 0),,,,"$1,899","$1,899","$1,753",836,$2.10,1925,0,Community,Call,12 Months,Unfurnished,310-710-9361,"9,354"
