MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
AR25116505MR,,356,356   Gless ST ,LOS ANGELES,90033,0,1.00 (1 0 0 0),,$0.00,50,$780,$800,$780,130,$6,1906,0,Community,No,1-Year,Furnished,626-482-2255,"4,200"
OC25116361MR,,1596,1596  W 36th ST ,LOS ANGELES,90018,1,1.00 (1 0 0 0),,$300.00,15,"$1,100","$1,100","$1,100","3,000",$0.37,2025,2,Gas Dryer Hookup,No,"1+Year,1-Year",Furnished,626-233-3077,"6,800"
25544287,,8472,8472  S Main St #8476 1/2,Los Angeles,90003,0,1.00 (1 0 0 0),,,,"$1,350","$1,350","$1,350",400,$3.38,1948,1,None,No,1+Year,Unfurnished,213-254-8790,"5,414"
RS25114740MR,,902,902   Magnolia AVE ,LONG BEACH,90813,1,1.00 (1 0 0 0),1400,$0.00,,"$1,400","$1,400","$1,400",550,$2.55,1909,0,None,No,Month-to-Month,Unfurnished,562-221-5566,"2,151"
SB25115939MR,,1082,1082   21st ST ,SAN PEDRO,90731,0,1.00 (0 1 0 0),,$0.00,,"$1,495","$1,495","$1,495",350,$4.27,1931,0,None,No,1-Year,Unfurnished,310-930-8110,"5,001"
RS25118281MR,Single Family,14513,14513   Horst AVE ,NORWALK,90650,4,2.00 (2 0 0 0),,$0.00,100,"$1,500","$1,500","$1,500","1,761",$0.85,1936,0,"Dryer,Dryer Included,Garage,Washer,Washer Included",No,1-Year,Furnished,310-995-3178,"5,441"
PW25114925MR,Condominium,1280,1280  E 4th ST #1,LONG BEACH,90802,1,1.00 (1 0 0 0),,$0.00,,"$1,795","$1,695","$1,695",561,$3.02,1956,0,Other,,Month-to-Month,Unfurnished,,"9,016"
GD25099837IT,,891,891  E 53rd ST #Jr,LOS ANGELES,90011,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",400,$4.38,1902,0,None,,1-Year,Unfurnished,818-822-7538,"4,600"
CV25114832MR,,226,226   Crandall ST ,LOS ANGELES,90057,0,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",233,$7.51,1983,1,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,323-452-1787,"6,372"
25542295,,5918,5918 1/2  Willoughby Ave ,Los Angeles,90038,0,1.00 (1 0 0 0),,,,"$1,750","$1,895","$1,750",550,$3.18,1968,0,In Unit,Yes,1+Year,Unfurnished,323-633-8077,"6,495"
