MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
AR26124120MR,,356,356   Gless ST ,LOS ANGELES,90033,0,1.00 (1 0 0 0),,$0.00,50,$790,$800,$790,130,$6.08,1906,0,Community,No,1-Year,Furnished,626-482-2255,"4,200"
SR26122429MR,,14932,14932   Roscoe BLVD ,PANORAMA CITY,91402,1,1.00 (0 1 0 0),,$0.00,,"$1,000","$1,000","$1,000",150,$6.67,1953,0,None,No,1-Year,Unfurnished,818-298-1402,"6,548"
IN26123605MR,,1320,1320   Cedar ST ,SANTA MONICA,90405,1,1.00 (1 0 0 0),,$0.00,,"$1,150","$1,315","$1,150",350,$3.29,1926,0,None,No,1-Year,Furnished,310-508-7155,"6,849"
26844225,,500,500  S Hobart Blvd #200,Los Angeles,90020,0,1.00 (1 0 0 0),,,,"$1,299","$1,299","$1,299",400,$3.25,1972,0,Community,Yes,12 Months,Unfurnished,310-818-3246,"9,434"
PW26126013MR,Apartment,1809,1809   4th ST #5,LONG BEACH,90802,0,1.00 (1 0 0 0),,$750.00,,"$1,395","$1,395","$1,395",375,$3.72,1951,0,Community,,1-Year,Unfurnished,562-481-7386,"3,484"
26845059,,4122,4122  W 2nd St #15,Los Angeles,90004,0,1.00 (1 0 0 0),,,,"$1,395","$1,395","$1,395",,$0,,0,Laundry Area,Yes,1-Year,Unfurnished,3234351098,"8,500"
SR26123875MR,,16823,16823   Simonds ST ,GRANADA HILLS,91344,1,1.00 (0 1 0 0),250,"$9,999.00",50,"$1,399","$1,450","$1,399",345,$4.06,1955,0,None,,1-Year,Unfurnished,818-331-3430,"7,536"
LG26121666MR,,15816,15816  S Vermont AVE #2,GARDENA,90247,0,1.00 (0 1 0 0),,$0.00,,"$1,400","$1,400","$1,400",250,$5.60,2024,0,None,No,1-Year,Unfurnished,949-861-0738,
26843993,,661,661   Shatto Pl #300,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$1,500","$1,500","$1,500",300,$5,1922,0,"Community,Laundry Area",Yes,1+Year,Unfurnished,310-770-8815,"10,925"
26843081,,919,919   Harvard Blvd #101,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,500","$1,500","$1,500",,$0,,1,Community,Yes,1+Year,Unfurnished,213-285-7934,"6,763"
