ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
90001,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90002,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90003,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90004,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90005,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90006,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90007,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90008,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90009,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90010,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90011,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90012,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90013,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90014,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90015,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90016,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90017,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90018,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90019,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90020,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90021,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90022,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90023,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90024,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90025,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90026,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90027,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90028,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90029,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90030,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90031,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90032,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
90033,06037,LOS ANGELES,CA,1.000000000,1.000000000,1.000000000,1.000000000
