market,mls_number,file_path,image_status
buy,AR24242830MR,/AR24242830MR,
buy,OC24243967MR,/OC24243967MR,
buy,OC24248877MR,/OC24248877MR,
buy,PW24132444,/PW24132444,
buy,TR24221941MR,/TR24221941MR,
buy,TR24229515MR,/TR24229515MR,
buy,TR24241336MR,/TR24241336MR,
buy,TR24241436MR,/TR24241436MR,
buy,TR24241544MR,/TR24241544MR,
buy,TR24245161MR,/TR24245161MR,
buy,TR24245999MR,/TR24245999MR,
buy,TR24253233MR,/TR24253233MR,
buy,TR24255038MR,/TR24255038MR,
buy,TR25001137MR,/TR25001137MR,
buy,WS24229033MR,/WS24229033MR,
buy,WS24241440MR,/WS24241440MR,
buy,WS24248419MR,/WS24248419MR,
buy,WS24249375MR,/WS24249375MR,
buy,WS25000197MR,/WS25000197MR,
buy,WS25001947MR,/WS25001947MR,
buy,WS25002948MR,/WS25002948MR,
buy,WS25006550MR,/WS25006550MR,
