mls_number,full_street_address,city,zip_code,latitude,longitude,geocode_status,listing_type,zip_source,audit_status,distance_outside_zip_miles
IG26164136MR,"10251   Angel, LOS ANGELES 91331.0",LOS ANGELES,91331,34.0549076,-118.242643,cached,buy,source_column,outside_zip,15.537859010637048
SB25096013MR,"21848 S Vermont AVE #6, TORRANCE 90502",None,90502,34.072699,-118.2915531,,lease,address_suffix,outside_zip,14.736537273901519
SB26180745MR,"20553 S Vermont AVE #6, TORRANCE 90502",TORRANCE,90502,34.0726946,-118.2915487,success,lease,source_column,outside_zip,14.73623298773731
SB25114431MR,"22533 S Vermont AVE #65, TORRANCE 90502",None,90502,34.0725789,-118.2919159,,lease,address_suffix,outside_zip,14.72835622756819
SB25239003MR,"21834 S Vermont  #5, TORRANCE 90502",TORRANCE,90502,34.0725784,-118.2919159,,lease,source_column,outside_zip,14.728321763332092
SR26090973MR,"22330 Victory BLVD #803, WOODLAND HILLS 91367",WOODLAND HILLS,91367,34.1680228,-118.3096304,,lease,source_column,outside_zip,14.472158372887545
26865883,"16169 W Sunset Blvd #203, Los Angeles 90272",Los Angeles,90272,34.0682017,-118.2502085,success,lease,source_column,outside_zip,14.085004850293167
SR26022546MR,"14458 Brand AVE, SAN FERNANDO 91340",SAN FERNANDO,91340,34.1345332,-118.2550156,,lease,source_column,outside_zip,13.773192486920482
26851731,"3623   5th Ave, La Crescenta 91214.0",La Crescenta,91214,34.0222225,-118.322702,,buy,source_column,outside_zip,13.742979485300616
PW26163921MR,"4516 S Normandie  #1/2, LOS ANGELES 90037",LOS ANGELES,90037,33.7899325,-118.2975021,cached,lease,source_column,outside_zip,13.741460662759511
26874575,"7620 S Western Ave #5, Los Angeles 90047",Los Angeles,90047,33.7354509,-118.3167036,success,lease,source_column,outside_zip,12.474484359774799
SR26008965MR,"12867 1/2  Norris AVE, SYLMAR 91384",SYLMAR,91384,34.3027012,-118.4533138,,lease,source_column,outside_zip,12.374734084448242
TR25271617MR,"320 A S Lincoln Avenue, MORNINGSIDE PARK 91755",MORNINGSIDE PARK,91755,33.9599876,-118.3265074,,lease,source_column,outside_zip,12.363402328146645
OC26161534MR,"1507   Mission, LOS ANGELES 90047.0",LOS ANGELES,90047,34.1157111,-118.1513546,cached,buy,source_column,outside_zip,12.197501563514153
26858773,"18307 Burbank Blvd #207, Los Angeles 91356",Los Angeles,91356,34.1863665,-118.315996,,lease,source_column,outside_zip,12.108330923934082
226003132VC,"18242 Burbank BLVD #8, TARZANA 91356",TARZANA,91356,34.1855551,-118.3174427,,lease,source_column,outside_zip,12.023816064709324
