Listing ID (MLS#),Sub Type,St#,St Name,City,PostalCode,Br/Ba,L/C Price,Price Per Square Foot,Sqft,YrBuilt,Garage Spaces,PetsAllowed,List Office Phone,Terms
SR22110541,RMRT/D,40246,174th ST  E,Lake Los Angeles,93591,"4/2,0,0,0",$850,$0.57,1490/A,1986/ASR,0,Call,818-989-2000,MO
TR22111960,APT/A,11412,Venice BLVD   #1B,Los Angeles,90066,"0/1,0,0,0","$1,250",$4.81,260/S,1965/ASR,0,No,626-965-7788,12M
CV22113191,STUD/A,13318,Del Sur ST  ,San Fernando,91340,"0/1,0,0,0","$1,400",$3.50,400/B,2021/BLD,0,No,323-401-2837,12M
AR22111537,APT/A,9547,Garvey AVE  ,South El Monte,91733,"1/1,0,0,0","$1,500",$2.50,600/O,1950/ASR,0,No,626-447-5100,12M
DW22112180,STUD/A,6811 1/2,Marconi ST  ,Huntington Park,90255,"1/1,0,0,0","$1,500",$3.75,400/A,1923/PUB,0,No,562-867-4717,MO
SR22110256,STUD/A,5312,Cartwright AVE   #2,North Hollywood,91601,"0/1,0,0,0","$1,550",$3.10,500/A,1991/ASR,1,No,818-993-7370,12M
22162049,CONDO,413 N,Virginia CT  ,Long Beach,90802,"1/1,0,0,0","$1,625",$2.17,750/E,1919/EST,,Call,714-855-9700,12M
22161173,CONDO,3817 W,21ST ST  ,Los Angeles,90018,"1/1,0,0,0","$1,650",$2.54,650/,1912,,Call,310-203-8300,12M
CV22113789,SFR/A,136 W,Orange ST  ,Covina,91723,"1/0,1,0,0","$1,700",$4.42,385/A,1920/ASR,0,No,626-963-0097,12M
EV22111765,SFR/A,12408 1/2,Beverly BLVD  ,Whittier,90601,"2/1,0,0,0","$1,800",$2.77,650/A,1923/PUB,1,No,909-266-0934,12M
CV22112343,CONDO/A,960 E,Bonita AVE   #62,Claremont,91767,"1/1,0,0,0","$1,800",$2.65,680/A,1979/ASR,1,No,909-575-8411,12M
TR22111336,APT/A,11412,Venice BLVD   #4,Los Angeles,90066,"1/1,0,0,0","$1,895",$3.16,600/S,1965/ASR,0,No,626-965-7788,12M
22161409,APT,634 S,Gramercy PL   #510,Los Angeles,90005,"1/1,0,0,0","$1,895",$2.45,775/E,1929/ASR,,"Call, Yes",310-481-6262,12M
22161403,APT,634 S,Gramercy PL   #310,Los Angeles,90005,"1/1,0,0,0","$1,895",$2.45,775/E,1929/ASR,,"Call, Yes",310-481-6262,12M
PW22110421,CONDO/A,13630,La Jolla CIR   #E,La Mirada,90638,"1/1,0,0,0","$1,900",$2.20,864/A,1973/ASR,1,Call,714-562-0404,12M
P1-9727,APT/A,1037,Emerson ST   #4,Pasadena,91106,"2/1,0,0,0","$1,900",$2.57,740/T,1972,1,Call,(626) 440-5100,12M
WS22111887,APT/A,58,Harkness AVE   #A,Pasadena,91106,"1/1,0,0,0","$1,950",$3.25,600/E,1903/ASR,0,No,626-285-9689,12M
CV22112526,APT/A,161 W,77th ST   #159.5,Los Angeles,90003,"2/1,0,0,0","$1,950",$2.43,803/A,1960/SLR,0,"No, Size Limit",909-373-0880,12M
OC22111991,QUAD/A,1327,93rd Street   W,Los Angeles,90044,"1/1,0,0,0","$1,950",$3.41,572/A,1941/ASR,0,Call,888-584-9427,12M
RS22103492,APT/A,640 W,Imperial AVE   #4,El Segundo,90245,"1/1,0,0,0","$1,995",$0.46,4356/A,1957/ASR,1,No,562-622-8900,12M
BB22066178,TPLX/A,2640 N,Frederic ST  ,Burbank,91504,"1/1,0,0,0","$1,995",$3.32,600/A,1951/ASR,0,"Number Limit, Size Limit",818-842-1200,NG
SR22112645,CONDO/A,1148 N,Formosa AVE   #4,West Hollywood,90046,"1/1,0,0,0","$1,995",$2.49,800/A,1957/ASR,0,Dogs OK,855-732-5500,12M
TR22112801,CONDO/A,1102 W,Calle Del Sol    #3,Azusa,91702,"2/1,0,0,0","$2,000",$2.39,836/A,1974/ASR,1,No,626-474-2288,12M
