MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
26632499,Apartment,1288,1288  W 35th Pl ,Los Angeles,90007,22,19.00 (17 0 2 0),,,,$700,"$1,400",$700,"7,090",$0.10,2025,7,"Laundry Closet Stacked,In Unit",No,"12 Months,Negotiable",Furnished,310-500-0351,"5,713"
25626007,,947,947  S Westmoreland Ave #303,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,275","$1,275","$1,275",600,$2.13,1962,0,"Laundry Area,Community",Call,1+Year,Unfurnished,310-770-8815,"11,846"
WS26002512MR,Single Family,2539,2539   Saleroso  ,ROWLAND HEIGHTS,91748,1,1.00 (1 0 0 0),,$750.00,30,"$1,300","$1,300","$1,300",300,$4.33,1983,0,Garage,No,1-Year,Unfurnished,626-566-1087,"19,367"
GD26000603IT,Single Family,927,927   Avonoak  #A,GLENDALE,91206,0,1.00 (1 0 0 0),,$0.00,,"$1,350","$1,350","$1,350",250,$5.40,1951,0,None,,1-Year,Unfurnished,818-497-4250,"14,295"
AR25281853MR,,2547,2547 1/2  Hermosa AVE #2547 1/2,MONTROSE,91020,0,1.00 (0 1 0 0),,$0.00,,"$1,450","$1,450","$1,450","2,875",$0.50,1923,0,"Community,Outside",No,1-Year,Unfurnished,626-688-7844,"7,215"
AR25282477MR,Apartment,2728,2728  S Baldwin  #B,ARCADIA,91007,0,1.00 (0 1 0 0),,$0.00,,"$1,500","$1,500","$1,500",600,$2.50,1940,0,Outside,,1-Year,Furnished,626-705-1160,"14,767"
PW26001624MR,,4108,4108   Bresee  ,BALDWIN PARK,91706,1,1.00 (1 0 0 0),,$0.00,50,"$1,500","$1,500","$1,500",600,$2.50,1951,0,Garage,,1-Year,Unfurnished,951-963-4023,"7,318"
26633375,,10660,10660   Wilshire Blvd.  #102,Los Angeles,90024,0,1.00 (0 1 0 0),,,,"$1,595","$1,595","$1,595",,$0,,1,Laundry Area,Yes,1+Year,Unfurnished,310-500-6319,1
SB26001690MR,,5108,5108   Summertime LN ,CULVER CITY,90230,2,2.00 (2 0 0 0),,$0.00,,"$1,600","$1,650","$1,600",916,$1.75,1973,0,"Community,Laundry Area",No,Negotiable,,310-991-3946,"211,507"
SR26000872MR,Apartment,7055,7055   Etiwanda AVE #210,RESEDA,91335,0,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",425,$3.76,1977,0,Laundry Area,No,1-Year,Unfurnished,818-324-9727,"13,381"
SR25265633MR,Single Family,8561,8561   Orion Ave ,NORTH HILLS,91343,1,1.00 (1 0 0 0),,$500.00,50,"$1,650","$1,650","$1,650",420,$3.93,1950,1,Laundry Area,No,1-Year,Furnished,818-331-3838,"15,052"
26633007,,1267,1267   Vin Scully Ave #26,Los Angeles,90026,0,1.00 (1 0 0 0),,,,"$1,650","$1,650","$1,650",550,$3,,1,Community,Call,1+Year,Unfurnished,323-443-6005,0
26632641,,1306,1306 1/2 S Mansfield Ave ,Los Angeles,90019,0,1.00 (0 1 0 0),,,,"$1,695","$1,695","$1,695",400,$4.24,1931,0,None,No,1+Year,Unfurnished,310-590-9808,"7,038"
26633463,Apartment,1603,1603  W 224th St #18,Torrance,90501,1,1.00 (1 0 0 0),,,,"$1,697","$1,697","$1,697",,$0,1980,0,Community,Call,1+Year,Unfurnished,310-710-0601,"16,204"
P1-25295PF,Single Family,9173,9173   Las Tunas DR ,TEMPLE CITY,91780,1,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",600,$2.83,1948,1,None,,1-Year,Unfurnished,(626) 243-3352,"3,402"
SR26002509MR,,508,508   Glenwood  #305,GLENDALE,91202,2,2.00 (2 0 0 0),,$0.00,,"$1,700","$1,700","$1,700","1,044",$1.63,1993,3,"Dryer,Dryer Included,Inside,Other,Washer,Washer Included",No,Negotiable,Furnished,818-640-6450,"14,263"
WS25280822MR,Apartment,516,516  E Lomita AVE #12,GLENDALE,91205,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",550,$3.18,1950,1,Community,No,1-Year,Unfurnished,3236577591,"14,109"
GD25281875IT,Single Family,19851,19851   Gresham ST ,NORTHRIDGE,91324,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",450,$3.89,2025,0,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,818-425-8058,"7,772"
26632833,,3619,3619  S Gramercy Pl ,Los Angeles,90018,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",366,$4.78,2025,0,In Unit,No,1+Year,Unfurnished,323-493-0771,"5,057"
SB26001992MR,Apartment,4015,4015  W 137th ST #229,HAWTHORNE,90250,1,1.00 (1 0 0 0),,$0.00,,"$1,795","$1,795","$1,795",680,$2.64,1972,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"17,406"
SB26000948MR,,2646,2646   Falling Leaf Ave #C,ROSEMEAD,91770,2,1.00 (1 0 0 0),500,$0.00,100,"$1,800","$1,800","$1,800",700,$2.57,1949,0,None,,1-Year,Unfurnished,310 707-3600,"9,616"
CV26001534MR,Apartment,301,301  N Soldano  ,AZUSA,91702,1,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,800",400,$4.50,1901,0,None,No,1-Year,Unfurnished,626-437-0703,"7,590"
AR25277635MR,Single Family,5243,5243   Buffington RD ,EL MONTE,91732,2,1.00 (1 0 0 0),,$500.00,,"$1,800","$1,800","$1,800",700,$2.57,1959,2,"Dryer,Dryer Included,Gas Dryer Hookup,Room,Washer,Washer Hookup,Washer Included",,1-Year,Unfurnished,626-824-5184,"12,252"
26632467,,1053,1053  S Alfred St #A,Los Angeles,90035,0,1.00 (0 1 0 0),,,,"$1,800","$1,900","$1,800",350,$5.14,1935,0,None,Call,1+Year,Furnished,310-367-1222,"6,899"
26632215,,1338,1338  N Sierra Bonita Ave #306,West Hollywood,90046,0,1.00 (1 0 0 0),,,,"$1,800","$1,800","$1,800",650,$2.77,1985,1,Community,No,"1+Year,1-Year,Renewal Options,Other",Unfurnished,310-721-1383,"8,107"
26632577,,361,361  S DETROIT ST #103,LOS ANGELES,90036,0,1.00 (1 0 0 0),,,,"$1,850","$1,850","$1,850",,$0,1928,0,Community,Call,1-Year,Unfurnished,818-223-1750,"7,803"
SB25278523MR,Apartment,2102,2102   S PACIFIC AVE #6,SAN PEDRO,90731,1,1.00 (1 0 0 0),,$500.00,,"$1,850","$1,850","$1,850",500,$3.70,1958,6,Community,,1-Year,Unfurnished,562-644-9208,"9,451"
SR26002502MR,,3408,3408  W Sunset BLVD #202,LOS ANGELES,90026,0,1.00 (1 0 0 0),,$50.00,,"$1,850","$1,850","$1,850",675,$2.74,1965,0,Laundry Area,,1-Year,Unfurnished,818-934-3025,"32,194"
SR26001733MR,Apartment,5223,5223   Auckland  #2,NORTH HOLLYWOOD,91601,1,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,850",800,$2.31,1954,2,Community,,"1+Year,1-Year",Unfurnished,818-212-9499,"7,003"
WS25282062MR,Condominium,421,421  S La Fayette Park  #624,LOS ANGELES,90057,1,1.00 (1 0 0 0),,$0.00,100,"$1,900","$1,900","$1,900",715,$2.66,1971,1,Community,No,1-Year,Unfurnished,626-886-7089,"43,264"
GD26001698IT,Single Family,14604,14604 1/2  Cohasset ST ,VAN NUYS,91405,1,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900",500,$3.80,2022,2,"Gas Dryer Hookup,Washer Hookup",No,1-Year,Unfurnished,818-502-1750,"8,235"
26632329,,1930,1930  S Bedford St #1/2,Los Angeles,90034,0,1.00 (1 0 0 0),,,,"$1,900","$1,900","$1,900",750,$2.53,1954,1,Laundry Area,Yes,"1+Year,Other",Unfurnished,424-279-3312,"6,299"
26632703,Apartment,536,536  S Manhattan Pl #424,Los Angeles,90020,1,1.00 (1 0 0 0),,,,"$1,950","$1,950","$1,950",650,$3,1986,1,"Community,Laundry Area",No,1+Year,Unfurnished,213-705-1111,"27,000"
AR26001354MR,Apartment,1132,1132  N Stoneman  #3,ALHAMBRA,91801,1,1.00 (1 0 0 0),,$0.00,,"$1,950","$1,950","$1,950",890,$2.19,1964,1,"Laundry Area,Room",No,1-Year,Unfurnished,626-255-7806,"14,327"
IG25282447MR,Single Family,1827,1827  S White  ,POMONA,91766,1,1.00 (1 0 0 0),,$20.00,20,"$2,200","$2,200","$1,950",850,$2.29,1956,0,In Kitchen,,1-Year,Unfurnished,,"6,747"
SR26002543MR,Apartment,3108,3108  W Sunset BLVD #205,SILVER LAKE,90026,1,1.00 (1 0 0 0),,$50.00,,"$1,950","$1,950","$1,950",615,$3.17,1965,0,Laundry Area,,1-Year,Unfurnished,818-934-3025,"32,194"
GD26001866IT,Apartment,10230,10230   Silverton  #1,TUJUNGA,91042,1,1.00 (1 0 0 0),,$0.00,,"$1,995","$1,850","$1,995",535,$3.73,1953,1,"Community,Laundry Area",No,1-Year,Unfurnished,818-437-2433,"14,888"
OC26002394MR,Apartment,38,38   Argonne AVE #1,LONG BEACH,90803,1,1.00 (1 0 0 0),,$0.00,,"$1,995","$1,995","$1,995",577,$3.46,1948,0,Community,No,1-Year,Unfurnished,714-292-2271,"2,160"
