MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
25603863,,647,647   18th St #316,Los Angeles,90015,0,0.00 (0 0 0 0),,,,$695,$795,$695,,$0,,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"25,000"
RS25236568MR,,8740,8740 1/2  Mccahill ST ,DOWNEY,90241,0,1.00 (1 0 0 0),,$0.00,,"$1,200","$1,000","$1,200",195,$6.15,1939,0,None,No,1-Year,Unfurnished,310-892-2783,"6,560"
TR25237953MR,Single Family,909,909   Hershey  ,MONTEREY PARK,91755,1,1.00 (1 0 0 0),,$0.00,50,"$1,200","$1,200","$1,200",360,$3.33,1921,0,None,No,1-Year,Unfurnished,626-625-2688,"7,916"
25603883,,507,507   Loma  #301,Los Angeles,90017,0,1.00 (1 0 0 0),,,,"$1,295","$1,295","$1,295",,$0,,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"25,000"
CV25237344MR,,779,779  N Sequoia LN ,AZUSA,91702,1,1.00 (1 0 0 0),,$0.00,,"$1,300",$995,"$1,300",600,$2.17,1975,0,Garage,No,Negotiable,Furnished,626-975-4104,"1,000"
25606029,,806,806  W 40th Pl #16,Los Angeles,90037,0,1.00 (1 0 0 0),,,,"$1,395","$1,395","$1,395",639,$2.18,1924,0,Community,Yes,1+Year,Unfurnished,310-493-9895,"6,057"
25603867,,738,738   New Hampshire Ave #506,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$1,395","$1,395","$1,395",,$0,,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"30,000"
SR25237232MR,Apartment,316,316  S New Hampshire  #208,LOS ANGELES,90020,0,0.00 (0 0 0 0),,$0.00,,"$1,495","$1,495","$1,495",339,$4.41,2005,1,Laundry Area,,1-Year,Unfurnished,818-439-2537,"445,618,800"
SB25238707MR,,539,539  S Cabrillo AVE ,SAN PEDRO,90731,0,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",550,$2.73,1923,0,None,No,1-Year,Unfurnished,310-766-4814,"4,500"
PW25236103MR,,1673,1673   251 ST ,HARBOR CITY,90710,3,3.00 (3 0 0 0),,$0.00,,"$1,500","$1,500","$1,500","2,104",$0.71,1987,2,In Closet,,1-Year,Furnished,562-342-6036,"5,655"
PW25236592MR,Condominium,300,300  S Westmoreland  #105,LOS ANGELES,90020,1,1.00 (1 0 0 0),,$0.00,100,"$1,600","$1,600","$1,600",650,$2.46,1994,0,"Community,Laundry Area",No,1-Year,Unfurnished,213-718-7733,"7,897"
25606017,,4115,4115  W Century Blvd #5,Inglewood,90304,1,1.00 (1 0 0 0),,,,"$1,647","$1,647","$1,647",,$0,1959,0,Community,Call,1+Year,Unfurnished,310-710-0601,"8,122"
PW25239321MR,,12008,12008   Roscoe Blvd ,NORTH HOLLYWOOD,91605,0,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",300,$5.50,1950,0,None,No,1-Year,Unfurnished,714-623-2865,"6,675"
TR25237203MR,,9148,9148   Verner ST #A,PICO RIVERA,90660,1,1.00 (1 0 0 0),,$0.00,,"$1,680","$1,680","$1,680",455,$3.69,1928,0,Laundry Area,,1-Year,Unfurnished,626-500-5789,"5,297"
SR25237946MR,Apartment,13538,13538   Vanowen Street #5,VALLEY GLEN,91405,1,1.00 (1 0 0 0),,$0.00,,"$1,695","$1,695","$1,695",450,$3.77,2021,0,Inside,,1-Year,Unfurnished,818-601-7177,"13,126"
P1-24505PF,,5022,5022   Echo ST #a,HIGHLAND PARK,90042,0,1.00 (0 1 0 0),2000,$0.00,,"$1,700","$2,000","$1,700",0,$0,1954,0,None,No,Month-to-Month,Unfurnished,(626) 685-5279,"10,641"
WS25239563MR,Apartment,6122,6122   Mesa AVE #5,LOS ANGELES,90042,1,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",650,$2.62,1950,1,Laundry Area,No,1-Year,Unfurnished,626-560-0773,"8,002"
25605957,,534,534  W 10th St ,Long Beach,90813,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",550,$3.18,1929,0,None,Call,1-Year,Unfurnished,310-499-6249,"3,503"
CV25237520MR,Apartment,316,316  N San Gabriel AVE #D,AZUSA,91702,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,590","$1,750",900,$1.94,1962,1,In Carport,,1-Year,Unfurnished,626-975-4104,"7,010"
25601213,,1306,1306 1/2 S Mansfield Ave ,Los Angeles,90019,0,1.00 (0 1 0 0),,,,"$1,750","$1,750","$1,750",400,$4.38,1931,0,None,No,1+Year,Unfurnished,310-590-9808,"7,038"
25605831,,1404,1404   Hollister St #A,San Fernando,91340,1,1.00 (1 0 0 0),,,,"$1,800","$1,000","$1,800",500,$3.60,1948,0,None,No,12 Months,Unfurnished,818-518-4055,"5,376"
SR25237393MR,,8139,8139   Etiwanda AVE ,RESEDA,91335,1,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,800",400,$4.50,1953,1,None,,1-Year,Unfurnished,818-799-2493,"7,000"
SR25236182MR,,23340,23340   Schoolcraft  ,WEST HILLS,91307,1,1.00 (1 0 0 0),,$500.00,,"$1,800","$1,800","$1,800",400,$4.50,1959,0,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,213-500-7619,"7,739"
SR25236504MR,,10944,10944   Odell Ave ,SUNLAND,91040,1,1.00 (1 0 0 0),,$500.00,,"$1,800","$1,800","$1,800",400,$4.50,2024,0,"Dryer,Dryer Included,Washer,Washer Included",No,1-Year,Unfurnished,818-389-5021,"6,302"
OC25226396MR,Apartment,641,641 5  Ward  ,LA HABRA,90631,1,1.00 (1 0 0 0),,$0.00,,"$1,810","$1,800","$1,810",700,$2.59,1964,0,Washer Hookup,,1-Year,Unfurnished,9495612288,"1,000"
AR25237094MR,,118,118   Fano ST #1/2,ARCADIA,91006,1,1.00 (1 0 0 0),,$0.00,,"$1,850","$2,350","$1,850",500,$3.70,1948,0,None,,"Negotiable,Other",Unfurnished,626-202-6446,"8,002"
25603969,Condominium,427,427  N Adams St #18,Glendale,91206,1,1.00 (1 0 0 0),,,,"$1,850","$1,850","$1,850",700,$2.64,1930,1,Community,Call,1-Year,Unfurnished,818-217-0056,"30,368"
25604795,,1420,1420   Alvarado Ter #8,Los Angeles,90006,1,1.00 (1 0 0 0),,,,"$1,850","$1,850","$1,850",500,$3.70,1923,0,Laundry Area,Call,1-Year,Unfurnished,310-770-8815,"6,219"
25605247,Apartment,6744,6744   Arlington Ave ,Los Angeles,90043,1,1.00 (1 0 0 0),,,,"$1,850","$1,850","$1,850",500,$3.70,2024,0,None,No,"1+Year,1-Year,12 Months",Unfurnished,424-258-4651,"4,801"
PW25236563MR,Condominium,300,300  S Westmoreland  #302,LOS ANGELES,90020,1,1.00 (1 0 0 0),,$0.00,100,"$1,850","$1,850","$1,850","18,800",$0.10,1994,0,"Community,Laundry Area,Room",No,1-Year,Unfurnished,213-718-7733,650
SR25235202MR,Apartment,351,351   Temple AVE #A,LONG BEACH,90814,1,1.00 (1 0 0 0),,$0.00,,"$1,895","$1,895","$1,895",600,$3.16,1895,0,"Community,Room",No,1-Year,Unfurnished,818-288-5956,"5,000"
25605063,Apartment,1522,1522   Dixon St ,Glendale,91205,1,1.00 (1 0 0 0),,,,"$1,900","$1,900","$1,900",700,$2.71,1965,1,Community,Call,1+Year,Unfurnished,213-923-3863,"11,760"
25605807,,1150,1150  N Commonwealth Ave ##2,Los Angeles,90029,0,1.00 (1 0 0 0),,,,"$1,900","$1,900","$1,900",,$0,1963,2,Community,Call,1+Year,Unfurnished,323-377-4067,"5,970"
