MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
25622631,,647,647   18th St #108,Los Angeles,90015,0,0.00 (0 0 0 0),,,,$695,$795,$695,,$0,,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"25,000"
25622633,,647,647   18th St #106,Los Angeles,90015,0,0.00 (0 0 0 0),,,,$695,$795,$695,,$0,,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"25,000"
25622635,,647,647   18th St #204,Los Angeles,90015,0,0.00 (0 0 0 0),,,,$695,$795,$695,,$0,,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"25,000"
AR25266056MR,,356,356   Gless ST ,LOS ANGELES,90033,0,1.00 (1 0 0 0),,$0.00,50,$790,$800,$790,130,$6.08,1906,0,Community,No,1-Year,Furnished,626-482-2255,"4,200"
25622331,,634,634  S Gramercy Pl #602,Los Angeles,90005,0,1.00 (0 1 0 0),,,,"$1,199","$1,199","$1,199",250,$4.80,1929,0,Community,Yes,1+Year,Unfurnished,310-710-9361,"11,264"
PW25264432MR,Apartment,551,551  W 10th  #9,LONG BEACH,90813,0,1.00 (1 0 0 0),,$500.00,,"$1,375","$1,375","$1,375",600,$2.29,1923,0,None,,1-Year,Unfurnished,,"7,251"
SR25264813MR,,5710,5710 1/2  Vineland AVE ,NORTH HOLLYWOOD,91601,1,1.00 (1 0 0 0),,$500.00,,"$1,450",$0,"$1,450",300,$4.83,1945,0,"Dryer,Dryer Included,Inside,Washer,Washer Included",,1-Year,Furnished,818-522-4481,"5,360"
AR25266053MR,Apartment,1421,1421  S Valencia ST ,LOS ANGELES,90015,0,1.00 (1 0 0 0),,$500.00,100,"$1,480","$1,480","$1,480",390,$3.79,1924,0,None,,1-Year,Unfurnished,626-482-2255,"4,000"
WS25265934MR,,1109,1109   Brent  ,SOUTH PASADENA,91030,0,1.00 (1 0 0 0),,$500.00,50,"$1,490","$1,490","$1,490",350,$4.26,1907,0,Laundry Area,,1-Year,Furnished,626-487-4623,"7,496"
PW25265984MR,Apartment,220,220  S Pannes AVE #3,COMPTON,90221,0,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",400,$3.75,1929,0,None,No,"1-Year,Month-to-Month",Unfurnished,562-755-7908,"6,400"
OC25265291MR,Apartment,1102,1102   Larimore AVE #10,LA PUENTE,91744,0,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",290,$5.17,1975,0,"Community,Laundry Area",,1-Year,Unfurnished,949-899-7888,"14,913"
25622139,,383,383   Harvey Dr #A,Glendale,91206,0,1.00 (0 1 0 0),,,,"$1,500","$1,500","$1,500",,$0,,0,None,No,1-Year,Unfurnished,213-422-9176,"4,000"
TR25266391MR,,5461,5461   Repetto AVE #Studio,EAST LOS ANGELES,90022,0,1.00 (1 0 0 0),,$0.00,,"$1,550","$2,400","$1,550",376,$4.12,1948,0,None,No,1-Year,Furnished,323-385-9516,"6,032"
25621405,,22012,22012   Covello  ,Canoga Park,91303,0,1.00 (0 1 0 0),,,,"$1,595","$1,595","$1,595",,$0,,1,In Unit,No,"1+Year,1-Year,Negotiable",Unfurnished,310-266-6264,"6,718"
25622545,,665,665  S Cochran Ave #104,Los Angeles,90036,0,1.00 (1 0 0 0),,,,"$1,595","$1,595","$1,595",660,$2.42,1929,0,Community,Yes,"1+Year,12 Months",Unfurnished,310-818-3246,"11,325"
25622551,,603,603  S Cochran Ave ,Los Angeles,90036,0,1.00 (1 0 0 0),,,,"$1,595","$1,595","$1,595",600,$2.66,1929,0,Community,Yes,"12 Months,1-Year",Unfurnished,310-818-3246,"15,601"
CV25264765MR,Apartment,1538,1538   new AVE #7,SAN GABRIEL,91776,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",600,$2.67,1959,2,Community,No,1-Year,Unfurnished,909-224-0008,"10,389"
25622193,,4115,4115  W Century Blvd #4,Inglewood,90304,1,1.00 (1 0 0 0),,,,"$1,647","$1,647","$1,647",,$0,1959,0,Community,Call,1+Year,Unfurnished,310-710-0601,"8,122"
25621133,Apartment,6768,6768   Lexington Ave #10,Los Angeles,90038,0,1.00 (1 0 0 0),,,,"$1,650","$1,650","$1,650",400,$4.13,1924,0,Community,Yes,1+Year,Unfurnished,310-746-6510,"6,207"
PW25263722MR,,703,703  W Anaheim ST #4,WILMINGTON,90744,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",650,$2.54,1948,1,Laundry Area,No,1-Year,Unfurnished,7149368900,"6,566"
SB25266393MR,Apartment,1130,1130   Newport AVE #105,LONG BEACH,90804,0,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",388,$4.25,1987,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"13,708"
25621459,,233,233  N PARK VIEW ST #3,LOS ANGELES,90026,1,1.00 (1 0 0 0),,,,"$1,679","$1,685","$1,679",700,$2.40,1966,0,Laundry Area,Yes,1-Year,Unfurnished,213-447-3973,"7,441"
25621867,,7925,7925   Vineland Ave #26,Los Angeles,91352,1,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",,$0,,1,Community,No,1-Year,Unfurnished,213-422-9176,"4,000"
25622257,,98,98   Cerritos Ave ,Long Beach,90802,0,1.00 (1 0 0 0),,$350.00,,"$1,695","$1,500","$1,695",360,$4.71,1910,0,"In Unit,In Kitchen,Inside",Yes,Month-to-Month,Unfurnished,310-902-5103,"5,010"
GD25265778IT,Apartment,506,506   Raymond AVE #508F,GLENDALE,91201,0,1.00 (1 0 0 0),,$0.00,,"$1,695","$1,695","$1,695",350,$4.84,1946,2,Laundry Area,,1-Year,Unfurnished,818-860-3177,"13,384"
PW25263651MR,Apartment,4522,4522   S. Normandie AVE ,LOS ANGELES,90037,1,1.00 (1 0 0 0),,$0.00,,"$1,695","$1,695","$1,695",375,$4.52,1936,0,None,No,1-Year,Furnished,562-225-5852,"6,370"
SR25264073MR,,826,826  N Citrus  ,LOS ANGELES,90038,0,1.00 (1 0 0 0),,$0.00,,"$1,695","$1,695","$1,695",400,$4.24,2007,0,None,No,1-Year,Furnished,323-578-3576,"6,001"
AR25264880MR,Single Family,3231,3231   Charlotte  ,ROSEMEAD,91770,0,0.00 (0 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",400,$4.25,2002,0,None,,1-Year,Unfurnished,626-675-7283,"7,550"
25622775,Apartment,443,443  S Wilton Pl #16,Los Angeles,90020,1,1.00 (1 0 0 0),,,,"$1,700","$1,700","$1,700",,$0,1957,1,Community,Call,1+Year,Unfurnished,213-999-4345,"19,907"
25621145,,355,355  N Maple St #219,Burbank,91505,0,1.00 (1 0 0 0),,,25,"$1,700","$1,800","$1,700",430,$3.95,1985,1,Community,No,1+Year,Unfurnished,323-363-9140,"39,478"
225005699VC,Condominium,8800,8800   Cedros AVE #204,PANORAMA CITY,91402,1,2.00 (2 0 0 0),,,,"$1,750","$1,750","$1,750",810,$2.16,1977,1,,,,Unfurnished,(805) 660-7638,"48,672"
25622685,,3007,3007   Sierra St ,Los Angeles,90031,0,1.00 (0 1 0 0),,,,"$1,750","$1,750","$1,750","3,674",$0.48,1926,0,None,Yes,1+Year,Unfurnished,213-923-0227,"14,960"
CV25263201MR,Apartment,657,657   Scott Place  #10,GLENDORA,91740,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",600,$2.92,1962,1,"Gas Dryer Hookup,In Kitchen,Laundry Closet Stacked,Stackable W/D Hookup,Washer Hookup",No,Month-to-Month,Unfurnished,909-750-1763,"14,407"
GD25265937IT,Condominium,14319,14319   Tiara ST #2,VAN NUYS,91401,0,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",450,$3.89,1957,0,Community,,1-Year,Unfurnished,818-281-8812,
GD25265664IT,,11040,11040   Nassau  ,SUNLAND,91040,0,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",400,$4.38,2025,0,Inside,No,1-Year,Unfurnished,818-437-2433,"5,491"
PW25264345MR,Apartment,7134,7134   Granger  ,BELL GARDENS,90201,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",480,$3.65,1940,0,None,,1-Year,Unfurnished,323-403-7782,"14,549"
SB25265700MR,Apartment,13535,13535   Yukon AVE #17,HAWTHORNE,90250,1,1.00 (1 0 0 0),,$0.00,,"$1,795","$1,795","$1,795",642,$2.80,1985,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"38,068"
DW25265036MR,Apartment,1776,1776   Stanton  ,LONG BEACH,90804,1,1.00 (1 0 0 0),,$0.00,,"$1,795","$1,795","$1,795",750,$2.39,1963,0,Community,No,1-Year,Unfurnished,562-400-2148,"8,500"
P1-25037PF,,1445,1445  E Woodbury RD #Rear,PASADENA,91104,0,2.00 (1 1 0 0),,$0.00,,"$1,800","$1,800","$1,800",297,$6.06,1948,0,Community,No,1-Year,Unfurnished,,"8,113"
25621955,Apartment,6610,6610   Whitsett Ave #1,North Hollywood,91606,1,1.00 (1 0 0 0),,,,"$1,800","$1,800","$1,800",625,$2.88,,1,Laundry Area,No,1+Year,Unfurnished,310-428-8981,"10,174"
PW25265126MR,Condominium,140,140   Linden AVE #316,LONG BEACH,90802,1,1.00 (1 0 0 0),,$250.00,,"$1,800","$1,800","$1,800",456,$3.95,1928,0,Community,,1-Year,Unfurnished,323-578-1732,"33,488"
PW25264579MR,,4512,4512  E Linsley ST ,COMPTON,90221,1,1.00 (1 0 0 0),,$250.00,,"$1,800","$1,800","$1,800",502,$3.59,1948,0,None,,1-Year,Unfurnished,562-682-9249,"10,909"
WS25249826MR,Apartment,320,320  N Stoneman AVE #E,ALHAMBRA,91801,0,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,800","$1,800",459,$3.92,1967,1,Community,,1-Year,Unfurnished,3236577591,"7,948"
25622465,,7345,7345   Tyrone Ave ,Van Nuys,91405,0,1.00 (1 0 0 0),,,,"$1,850","$1,850","$1,850",500,$3.70,1948,1,Community,No,1-Year,Unfurnished,747-255-8424,"5,733"
GD25264525IT,,6951,6951   Rhea St ,RESEDA,91335,0,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,850",362,$5.11,1953,0,"Dryer,Dryer Included,Inside,Washer,Washer Included",No,1-Year,Unfurnished,818-300-1252,"282,922,200"
25622757,Apartment,11938,11938   Goshen Ave #10,Los Angeles,90049,0,1.00 (1 0 0 0),,,,"$1,895","$1,895","$1,895",,$0,1960,0,Community,Yes,1+Year,Unfurnished,213-797-5559,"7,498"
25622119,,938,938  W Glenoaks Blvd #B,Glendale,91202,1,1.00 (1 0 0 0),,$0.00,,"$1,895","$1,895","$1,895",500,$3.79,1954,0,In Unit,Yes,1-Year,Unfurnished,310-666-9682,"5,078"
25620657,,1231,1231  E HARVARD ST #D,GLENDALE,91205,1,1.00 (1 0 0 0),,$0.00,,"$1,895","$1,895","$1,895",600,$3.16,1923,0,"In Unit,Laundry Closet Stacked",Yes,1-Year,Unfurnished,310-666-9682,"21,779"
AR25264272MR,Apartment,8135,8135   Reseda  #9,RESEDA,91335,1,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900",900,$2.11,1981,1,Community,,1-Year,Unfurnished,626-665-3457,"8,502"
RS25265507MR,,8409,8409   Adoree ST #A,DOWNEY,90242,1,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900",400,$4.75,2025,0,In Kitchen,,"1-Year,Month-to-Month",Furnished,562-233-4154,400
SB25265762MR,Apartment,469,469  W Oliver ST #3,SAN PEDRO,90731,2,1.00 (1 0 0 0),,$0.00,,"$1,950","$1,950","$1,950",790,$2.47,1980,0,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"9,377"
TR25265445MR,Single Family,15442,15442   Garo  ,HACIENDA HEIGHTS,91745,1,1.00 (1 0 0 0),,$0.00,,"$1,950","$1,900","$1,950",470,$4.15,1957,2,"Dryer,Dryer Included,Outside,Washer,Washer Included",No,1-Year,Furnished,626-308-1002,"7,957"
SR25264436MR,Apartment,1025,1025  S Berendo ST #305,LOS ANGELES,90006,0,1.00 (1 0 0 0),,$0.00,,"$1,988","$1,988","$1,988",509,$3.91,2019,1,"In Closet,Laundry Closet Stacked,Stackable W/D Hookup",,1-Year,Unfurnished,818-201-8724,"5,904"
