MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
CV25224657MR,,885,885  N Eleanor  ,POMONA,91767,1,1.00 (1 0 0 0),,$0.00,,$900,$900,$900,"2,504",$0.36,1911,0,Laundry Area,No,1-Year,Unfurnished,626-482-5913,"9,953"
TR25227121MR,,966,966  E 7th  ,POMONA,91767,1,1.00 (1 0 0 0),,$0.00,,$950,$950,$950,850,$1.12,1922,0,None,No,1-Year,Unfurnished,714 631-3858,"13,094"
25598555,,3124,3124  W 11th St ,Los Angeles,90006,1,1.00 (1 0 0 0),,,,"$1,200","$1,200","$1,200",150,$8,2023,0,In Unit,Call,"1+Year,1-Year,12 Months",Both,213-879-9519,"10,818"
25597385,,316,316  N Orlando Ave ,Los Angeles,90048,2,1.00 (1 0 0 0),,,,"$1,200","$1,200","$1,200","1,346",$0.89,1925,2,Garage,No,12 Months,Furnished,213-944-9000,"6,256"
25598049,,5522,5522   Sierra Vista Ave #2,Los Angeles,90038,0,1.00 (1 0 0 0),,,,"$1,295","$1,295","$1,295",400,$3.24,1925,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"9,409"
25598549,,1312,1312  N Mariposa Ave ,Los Angeles,90027,1,1.00 (1 0 0 0),,,,"$1,300","$1,300","$1,300",148,$8.78,2025,0,"Inside,In Living Room",Call,"1+Year,1-Year,12 Months",Furnished,213-879-9519,"6,792"
25598511,,329,329  S Manhattan Pl #409,Los Angeles,90020,0,1.00 (1 0 0 0),,,,"$1,399","$1,399","$1,399",520,$2.69,1931,0,Community,Yes,12 Months,Unfurnished,310-710-9361,"9,018"
25598457,,407,407  N Exton Ave ##2,Inglewood,90302,1,1.00 (1 0 0 0),,,,"$1,450","$1,450","$1,450",,$0,,1,None,Call,1+Year,Unfurnished,310-850-0345,"6,000"
25598445,Apartment,11472,11472   VENTURA  #2,STUDIO CITY,91604,0,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",200,$7.48,1941,1,None,Call,1+Year,Unfurnished,818-640-3863,"6,250"
SB25224635MR,,1373,1373  W 12th ST ,SAN PEDRO,90731,0,1.00 (0 1 0 0),,$0.00,,"$1,500","$2,000","$1,500",327,$4.59,1923,0,None,,1-Year,Unfurnished,310-989-7106,"4,394"
SB25224916MR,Apartment,1116,1116   Sartori AVE #105,TORRANCE,90501,0,1.00 (1 0 0 0),,$0.00,50,"$1,500","$1,500","$1,500",400,$3.75,1927,0,Laundry Area,No,1-Year,Unfurnished,310-259-6850,"4,278"
25598259,Apartment,11209,11209   Sardis Ave #102 (ADU),Los Angeles,90064,0,1.00 (1 0 0 0),,,,"$1,550","$1,550","$1,550",275,$5.64,1980,0,Community,Yes,"1+Year,1-Year,12 Months",Unfurnished,213-442-0211,"3,382"
CV25224300MR,Apartment,34,34  N 1st ST #7,ALHAMBRA,91801,0,1.00 (1 0 0 0),1565,$0.00,35,"$1,565","$1,565","$1,565",296,$5.29,1956,0,Community,,1-Year,Unfurnished,626-391-2149,"14,816"
PW25225083MR,,14357,14357 14357  Lanning  ,WHITTIER,90604,4,3.00 (3 0 0 0),,$0.00,,"$1,600","$2,500","$1,600","1,612",$0.99,1951,0,"Dryer,Dryer Included,Room,Washer,Washer Included",No,1-Year,Furnished,562-397-7112,"6,526"
25598863,,356,356  W 90th St #1/2,Los Angeles,90003,1,1.00 (1 0 0 0),,,,"$1,650","$1,650","$1,650",858,$1.92,2020,0,None,Call,1+Year,Unfurnished,310-913-6106,"1,902"
225004831VC,,6213,6213   Whitsett AVE ,NORTH HOLLYWOOD,91606,1,1.00 (1 0 0 0),,,,"$1,675","$1,700","$1,675",,$0,1981,1,"Community,Room",,,,(805) 807-8728,"6,238"
MB25226443MR,Apartment,6500,6500 6500 S Vermont  #952,LOS ANGELES,90044,1,1.00 (1 0 0 0),,$0.00,,"$1,690","$1,000","$1,690",690,$2.45,1954,1,None,No,1-Year,Unfurnished,626-675-2189,"16,500"
25597317,Apartment,2448,2448   Boulder St #10,Los Angeles,90033,0,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",352,$4.82,,1,Community,No,1+Year,Unfurnished,323-577-4663,"7,000"
25597367,Apartment,2614,2614   Michigan Ave #4,Los Angeles,90033,1,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",700,$2.42,1961,1,Community,No,1+Year,Unfurnished,323-577-4663,"5,462"
225004850VC,Condominium,7125,7125   Shoup AVE #202,WEST HILLS,91307,1,1.00 (1 0 0 0),,,,"$1,750","$3,500","$1,750",468,$3.74,1981,0,Community,,,Unfurnished,(818) 522-4123,"25,252"
