MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
SB25197921MR,,209,209  S Michigan AVE #R3,PASADENA,91106,1,2.00 (2 0 0 0),,$0.00,,$850,$850,$850,150,$5.67,1890,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"7,495"
25587155,Apartment,1608,1608  W 36th Pl ,Los Angeles,90018,0,1.00 (1 0 0 0),,,,"$1,000","$1,000","$1,000",150,$6.67,2020,0,Laundry Area,Call,1+Year,Unfurnished,213-800-2760,"5,131"
25588987,,5170,5170  N Columbus Ave ,Sherman Oaks,91403,0,1.00 (1 0 0 0),,,,"$1,195","$1,195","$1,195","2,682",$0.45,1956,0,"Community,Outside",Call,1+Year,Unfurnished,310-560-6666,"6,254"
25589011,,738,738   New Hampshire Ave #103,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$1,195","$1,195","$1,195",,$0,,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"30,000"
25586797,,1420,1420   Alvarado Ter #13,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,250","$1,250","$1,250",170,$7.35,1923,0,"Laundry Area,Community",Call,1+Year,Unfurnished,310-770-8815,"6,219"
25587177,,946,946  S Burlington Ave #208,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,400","$1,400","$1,400",400,$3.50,1922,0,None,No,1+Year,Unfurnished,310-770-8815,"7,419"
25586809,,1420,1420   Alvarado Ter #14,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,450","$1,450","$1,450",290,$5,1923,0,"Laundry Area,Community",Call,1+Year,Unfurnished,310-770-8815,"6,219"
CV25196189MR,,713,713  S Azusa AVE #D,AZUSA,91702,1,1.00 (1 0 0 0),,$0.00,,"$1,500","$2,500","$1,500",500,$3,2016,1,"Dryer,Dryer Included,In Kitchen,Inside,Washer,Washer Hookup,Washer Included",No,1-Year,Furnished,909-610-0101,"33,461"
OC25200295MR,Single Family,1031,1031  W 2nd ST ,POMONA,91766,0,1.00 (1 0 0 0),,$0.00,100,"$1,500","$1,500","$1,500","1,224",$1.23,1928,0,Laundry Area,No,"1-Year,Negotiable",Unfurnished,949.751.7079,"6,281"
PF25196259PF,Apartment,4711,4711   Butterfly LN ,LOS ANGELES,90032,1,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",500,$3,1926,1,None,No,1-Year,Unfurnished,323-702-4341,"5,711"
25588021,,644,644  W 5th St  #2,San Pedro,90731,1,1.00 (1 0 0 0),,,,"$1,595","$1,595","$1,545",,$0,,1,None,Yes,1+Year,Unfurnished,310-691-6199,0
SB25199225MR,Apartment,7053,7053   3rd AVE ,LOS ANGELES,90043,1,1.00 (1 0 0 0),,$0.00,,"$1,550","$1,550","$1,550",500,$3.10,1951,0,None,No,1-Year,Unfurnished,424-732-2821,"8,089"
SB25201289MR,Apartment,511,511  W Manchester  #8,INGLEWOOD,90301,0,1.00 (1 0 0 0),,$0.00,,"$1,550","$1,550","$1,550",285,$5.44,1940,1,"Dryer,Dryer Included,Laundry Closet Stacked,Stackable W/D Hookup,Washer,Washer Included",No,1-Year,Unfurnished,310-972-0239,"11,733"
25587249,,1038,1038  S Harvard Blvd #4,Los Angeles,90006,1,1.00 (1 0 0 0),,,,"$1,580","$1,580","$1,580",600,$2.63,1962,1,None,No,1+Year,Unfurnished,213-808-9899,"5,902"
25587251,,1034,1034  S Ardmore Ave #6,Los Angeles,90006,1,1.00 (1 0 0 0),,,,"$1,580","$1,580","$1,580",600,$2.63,1965,1,None,No,1+Year,Unfurnished,213-808-9899,"5,904"
CV25196018MR,Apartment,816,816  N Azusa AVE #11,WEST COVINA,91791,1,1.00 (1 0 0 0),,$0.00,,"$1,595","$1,595","$1,595",612,$2.61,1957,1,Community,No,Month-to-Month,Unfurnished,909-750-1763,"29,361"
SB25202406MR,Apartment,1212,1212   Gladys AVE #305,LONG BEACH,90804,1,1.00 (1 0 0 0),,$0.00,,"$1,595","$1,595","$1,595",260,$6.13,1987,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"6,266"
25589359,,634,634  S Gramercy Pl #605,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$1,599","$1,599","$1,599",500,$3.20,1929,0,Community,Yes,1+Year,Unfurnished,310-710-9361,"11,264"
25588715,,610,610  W 53rd St ,Los Angeles,90037,1,1.00 (1 0 0 0),,,,"$1,600","$1,600","$1,600","6,357",$0.25,1926,1,None,No,1+Year,Unfurnished,310-346-7515,"5,440"
25587807,,4152,4152   Verdugo Rd ,Los Angeles,90065,1,1.00 (1 0 0 0),,,,"$1,600","$1,600","$1,600",500,$3.20,1948,3,None,No,1+Year,Unfurnished,213-477-0581,"5,203"
IG25200137MR,Apartment,1532,1532   New AVE #1,SAN GABRIEL,91776,8,8.00 (8 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",600,$2.67,1959,1,Community,No,1-Year,Unfurnished,951-232-2200,"10,392"
TR25199374MR,Townhouse,1519,1519   Prospect AVE #5,SAN GABRIEL,91776,1,1.00 (1 0 0 0),,$300.00,100,"$1,600","$1,600","$1,600",700,$2.29,1994,1,None,,1-Year,Unfurnished,626-625-2688,"10,156"
WS25200554MR,Apartment,595,595  E 6th ST ,POMONA,91766,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",450,$3.67,1957,0,"Gas Dryer Hookup,Washer Hookup",No,1-Year,Unfurnished,3236577591,"9,641"
25587007,,518,518  N 4th St ,Montebello,90640,1,1.00 (1 0 0 0),,,,"$1,650","$1,650","$1,650",650,$2.54,1954,0,None,No,1+Year,Furnished,909-900-8842,"6,640"
SB25197977MR,Apartment,3920,3920   Marathon ST #7,LOS ANGELES,90029,0,1.00 (1 0 0 0),,$0.00,,"$1,775","$1,675","$1,675",300,$5.58,1966,1,Laundry Area,,1-Year,Unfurnished,424-732-2821,"9,305"
25587191,,5520,5520   Franklin Ave #1/2,Los Angeles,90028,0,1.00 (0 1 0 0),,,,"$1,695","$1,695","$1,695",450,$3.77,,1,None,Call,1+Year,Unfurnished,818-277-1689,"8,000"
25588433,,5822,5822   HAROLD WAY #E,LOS ANGELES,90028,0,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,695",425,$3.99,1996,1,Community,Yes,"1+Year,Negotiable",Unfurnished,310-386-4398,"8,753"
GD25197247IT,Single Family,2926,2926   Fairmount AVE #1/4,LA CRESCENTA,91214,0,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",408,$4.17,2024,0,"Electric Dryer Hookup,Hookup - Electric,Inside,Other,Washer Hookup",,1-Year,Unfurnished,818-429-9017,"14,997"
25568825,Combo - Res & Com,2055,2055   Torrance Blvd ,Torrance,90501,2,1.00 (1 0 0 0),,$300.00,,"$1,875","$1,700","$1,700","7,375",$0.23,1948,1,"In Unit,In Kitchen",No,1-Year,Unfurnished,323-606-1769,"18,217"
25587767,,2742,2742   Santa Anita Ave ,El Monte,91733,0,2.00 (2 0 0 0),,,,"$1,700","$1,700","$1,700",756,$2.25,1946,0,None,Call,1-Year,Unfurnished,833-832-6770,"6,001"
25587685,Apartment,4180,4180   Marlton Ave #33,Los Angeles,90008,1,1.00 (1 0 0 0),,,,"$1,745","$1,750","$1,745",750,$2.33,1989,1,Room,Call,1-Year,Unfurnished,310-968-2454,"89,270"
DW25200522MR,,6853,6853   Ira  #B,BELL GARDENS,90201,1,1.00 (1 0 0 0),,$0.00,10,"$1,750","$1,750","$1,750",433,$4.04,2024,0,None,No,1-Year,Unfurnished,,"11,700"
CV25201328MR,Apartment,751,751  S Towne AVE #757,POMONA,91766,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",600,$2.92,1954,0,Laundry Area,,"1-Year,Negotiable",Unfurnished,,"7,445"
25588455,,1059,1059  S Norton Ave #5,Los Angeles,90019,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",600,$2.92,1953,1,Community,Call,1+Year,Unfurnished,213-392-6061,"9,274"
25586111,,5018,5018 1/2 S Harvard Blvd ,Los Angeles,90062,1,1.00 (1 0 0 0),,,,"$1,795","$1,795","$1,795",300,$5.98,1938,1,In Unit,Yes,"1+Year,1-Year",Unfurnished,323-542-3682,"5,201"
PW25200949MR,,6510,6510   Marbrisa  #B,HUNTINGTON PARK,90255,1,1.00 (1 0 0 0),10,$0.00,40,"$1,795","$1,795","$1,795",616,$2.91,1961,1,None,No,Month-to-Month,Unfurnished,7146080955,"6,673"
OC25203205MR,,8813,8813   Hoover  ,LOS ANGELES,90044,1,1.00 (1 0 0 0),,$0.00,50,"$1,800","$2,000","$1,800",500,$3.60,1924,0,None,No,1-Year,Unfurnished,714-856-1497,"5,772"
SR25200282MR,Single Family,13553,13553   Bromwich ST ,ARLETA,91331,1,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,800",400,$4.50,1952,2,"Gas Dryer Hookup,Inside,Laundry Closet Stacked,Stackable W/D Hookup,Washer,Washer Hookup,Washer Included",,1-Year,Furnished,818-430-2878,"6,052"
25587573,Apartment,1022,1022  S Catalina St ##1,Los Angeles,90006,1,1.00 (1 0 0 0),,,,"$1,800","$1,700","$1,800",600,$3,1960,0,In Kitchen,No,1+Year,Unfurnished,818-585-3412,"5,908"
AR25197024MR,Single Family,19369,19369   Dairen ST #B,ROWLAND HEIGHTS,91748,1,1.00 (1 0 0 0),,$0.00,25,"$1,800","$1,800","$1,800",480,$3.75,1964,0,Laundry Area,No,1-Year,Unfurnished,626-378-8209,"6,247"
25587881,,3376,3376   Descanso Dr #6,Los Angeles,90026,0,1.00 (1 0 0 0),,,,"$1,825","$1,825","$1,825",375,$4.87,1964,1,Community,No,1+Year,Unfurnished,310-905-9479,"5,276"
25587527,Apartment,10540,10540   Balboa Blvd #228,Granada Hills,91344,1,1.00 (1 0 0 0),,,,"$1,850","$1,850","$1,850",550,$3.36,1977,1,"Community,Laundry Area,Room",No,12 Months,Unfurnished,310-826-5595,"53,308"
DW25200109MR,Single Family,9707,9707 1/2  Bandera ST ,LOS ANGELES,90002,1,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,850",380,$4.87,1982,0,"Dryer,Dryer Included,Inside,Laundry Closet Stacked,Stackable W/D Hookup,Washer,Washer Included",No,"1+Year,1-Year",Unfurnished,323-712-5012,"3,324"
WS25197729MR,Apartment,426,426   Concord AVE #1/2,MONROVIA,91016,1,1.00 (1 0 0 0),,$0.00,50,"$1,850","$1,850","$1,850",650,$2.85,1922,1,Outside,No,1-Year,Unfurnished,626-662-5236,"15,885"
SB25202444MR,Apartment,13535,13535   Yukon AVE #14,HAWTHORNE,90250,1,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,850",621,$2.98,1985,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"38,068"
SB25202483MR,Apartment,13535,13535   Yukon AVE #10,HAWTHORNE,90250,1,1.00 (1 0 0 0),,$0.00,,"$1,875","$1,875","$1,875",660,$2.84,1985,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"38,068"
25588405,,202,202   Locust St ,Inglewood,90301,1,1.00 (1 0 0 0),,,,"$1,875","$1,875","$1,875",,$0,,0,Community,No,12 Months,Unfurnished,818-533-8845,"6,000"
25586749,,9056,9056   Hubbard St #B,Culver City,90232,0,1.00 (1 0 0 0),,,,"$1,875","$1,875","$1,875",,$0,1926,0,In Unit,Call,1-Year,Unfurnished,310-254-6221,"6,026"
SB25202491MR,Apartment,13535,13535   Yukon AVE #23,HAWTHORNE,90250,1,1.00 (1 0 0 0),,$0.00,,"$1,895","$1,895","$1,895",641,$2.96,1985,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"38,068"
SB25197995MR,Apartment,3920,3920   Marathon ST #12,LOS ANGELES,90029,1,1.00 (1 0 0 0),,$0.00,,"$1,895","$1,895","$1,895",700,$2.71,1966,1,Laundry Area,,1-Year,Unfurnished,424-732-2821,"9,305"
PW25199397MR,Apartment,1253,1253  S Greenwood AVE #8B,MONTEBELLO,90640,72,1.00 (1 0 0 0),14,$45.00,189,"$1,895","$1,895","$1,895","25,320",$0.07,1961,39,"Community,Laundry Area",,1-Year,Unfurnished,562-805-9063,"40,978"
TR25198936MR,Single Family,7791,7791   Eileen ST ,STANTON,90680,1,1.00 (1 0 0 0),,$300.00,100,"$1,900","$1,900","$1,900",400,$4.75,1955,1,None,,1-Year,Unfurnished,626-625-2688,"7,276"
TR25204028MR,Condominium,3640,3640   Sumner AVE #105,POMONA,91767,1,1.00 (1 0 0 0),,$0.00,,"$1,950","$2,000","$1,950",857,$2.28,1979,1,Inside,No,1-Year,,909-282-0628,"81,751"
OC25193649MR,Apartment,163,163   second ST ,POMONA,92688,1,1.00 (1 0 0 0),,$500.00,,"$2,100","$2,000","$1,950",700,$2.79,2020,0,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Furnished,949-463-7653,"3,000"
25587175,,1100,1100  W Glendon Way ,Alhambra,91803,1,1.00 (1 0 0 0),,,,"$1,950","$1,950","$1,950",,$0,1959,1,Community,Call,1+Year,Unfurnished,805-402-5737,"39,030"
225004567VC,,701,701   Coronado TER ,LOS ANGELES,90026,1,1.00 (1 0 0 0),,,,"$1,950","$1,950","$1,950",700,$2.79,1948,0,Gas Dryer Hookup,,,Unfurnished,,"6,770"
25587423,,8105,8105   Bevis Ave ,Panorama City,91402,1,1.00 (1 0 0 0),,,,"$1,950","$1,895","$1,950",360,$5.42,1953,1,None,No,1-Year,Unfurnished,818-855-4289,"6,451"
25588315,,6244,6244   De Longpre Ave #2,Los Angeles,90028,1,1.00 (1 0 0 0),,$0.00,,"$1,950","$1,950","$1,950",635,$3.07,1958,1,Laundry Closet Stacked,Yes,1-Year,Unfurnished,310-666-9682,"6,759"
25588461,,8617,8617  S 5TH AVE #1/2,INGLEWOOD,90305,1,1.00 (1 0 0 0),,,,"$1,950","$1,950","$1,950",600,$3.25,1948,1,In Unit,No,1-Year,Unfurnished,310-621-1563,"7,097"
CV25200754MR,Single Family,13508,13508   Beverly BLVD ,WHITTIER,90601,1,1.00 (1 0 0 0),,$0.00,100,"$1,950","$1,950","$1,950",400,$4.88,1925,0,None,No,1-Year,Furnished,626-393-1394,"7,422"
AR25198693MR,,445,445   Walnut AVE ,ARCADIA,91007,0,1.00 (1 0 0 0),,$0.00,,"$1,980","$1,980","$1,980",600,$3.30,2015,1,None,No,1-Year,Unfurnished,626-390-8870,"16,822"
P1-23986PF,,1562,1562  N Hill AVE #101,PASADENA,91104,0,1.00 (1 0 0 0),,$0.00,50,"$1,980","$1,980","$1,980",500,$3.96,1925,0,Laundry Area,No,1-Year,Unfurnished,(626) 808-8055,"7,503"
SB25200045MR,Apartment,3710,3710   Garnet ST #205,TORRANCE,90503,0,1.00 (1 0 0 0),,$0.00,,"$1,990","$1,990","$1,990",415,$4.80,1968,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"42,403"
WS25197654MR,Condominium,360,360  W Avenue 26  #318,LOS ANGELES,90031,0,1.00 (1 0 0 0),,$0.00,25,"$1,995","$1,995","$1,995",630,$3.17,2006,1,"Gas Or Electric Dryer Hookup,In Closet",No,Other,Unfurnished,,"53,961"
25588201,Apartment,6640,6640   Woodman Ave #2,Van Nuys,91401,1,1.00 (1 0 0 0),,,,"$1,995","$1,995","$1,995",600,$3.33,1956,1,"Community,Outside",Yes,1-Year,Unfurnished,323-376-0878,"8,802"
25586599,Apartment,12717,12717   Pacific Ave ,Los Angeles,90066,1,1.00 (1 0 0 0),,,,"$1,995","$1,995","$1,995",600,$3.33,1963,1,Community,No,1+Year,Unfurnished,310-905-9479,"7,367"
25586911,,1507,1507   Beloit Ave #5,Los Angeles,90025,1,1.00 (1 0 0 0),,,,"$1,995","$1,995","$1,995",675,$2.96,1958,1,"Community,Room",No,"1+Year,Negotiable,12 Months",Unfurnished,310-387-7087,"7,004"
25588469,Apartment,14721,14721   Sylvan St #3,Van Nuys,91411,1,1.00 (1 0 0 0),,,,"$2,000","$2,000","$2,000",530,$3.77,1948,1,None,Call,1+Year,Unfurnished,413-883-1197,"8,759"
AR25201327MR,,129,129   Genoa ST #B,ARCADIA,91006,1,1.00 (1 0 0 0),,$0.00,100,"$2,000","$2,000","$2,000",580,$3.45,1950,1,"Community,Laundry Area",No,1-Year,Unfurnished,626-247-4068,"8,430"
WS25202080MR,Apartment,701,701  S Garfield AVE ,MONTEREY PARK,91754,1,1.00 (1 0 0 0),,$350.00,50,"$2,000","$1,850","$2,000",500,$4,1959,0,Community,,1-Year,Unfurnished,626-905-9085,"55,492"
SR25201400MR,Condominium,5460,5460   White Oak AVE #A113,ENCINO,91316,1,1.00 (1 0 0 0),,$250.00,,"$2,000","$2,000","$2,000",683,$2.93,1971,1,"Community,Laundry Area",,1-Year,Unfurnished,818-601-3389,"406,432"
PW25202079MR,Apartment,1411,1411   Walnut AVE ,LONG BEACH,90813,2,1.00 (1 0 0 0),,$500.00,,"$2,000","$2,000","$2,000","1,030",$1.94,1931,0,None,,1-Year,Unfurnished,714-625-7240,"6,831"
SR25198326MR,,23340,23340   Schoolcraft ST ,WEST HILLS,91307,1,1.00 (1 0 0 0),,$500.00,,"$2,000","$2,000","$2,000",400,$5,1959,0,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,213-500-7619,"7,739"
SR25199310MR,,10326,10326   Debra AVE ,GRANADA HILLS,91344,1,1.00 (1 0 0 0),,$250.00,,"$2,000","$2,000","$2,000",500,$4,2025,0,"Electric Dryer Hookup,Hookup - Electric,Laundry Closet Stacked,Stackable W/D Hookup,Washer Hookup",,1-Year,Unfurnished,818-259-3100,"12,313"
PW25198938MR,Single Family,5019,5019   Barlin Ave ,LAKEWOOD,90712,0,1.00 (1 0 0 0),,$200.00,,"$2,000","$2,000","$2,000",595,$3.36,2025,0,In Kitchen,,1-Year,Unfurnished,714-720-9790,"5,463"
PW25200265MR,Apartment,1024,1024  W Angeleno AVE #B,BURBANK,91506,1,1.00 (1 0 0 0),,$500.00,25,"$2,000","$2,000","$2,000","2,175",$0.92,1948,0,None,,1-Year,Unfurnished,562-505-8158,"7,572"
PW25165077MR,,1920,1920  W 52nd ST #1920,LOS ANGELES,90062,2,1.00 (1 0 0 0),,$500.00,100,"$2,000","$2,000","$2,000",700,$2.86,1923,0,Inside,,1-Year,Unfurnished,949-402-7025,"6,978"
CV25199806MR,Apartment,208,208  W 90th ST #3,LOS ANGELES,90003,1,1.00 (1 0 0 0),,$0.00,,"$2,081","$2,081","$2,081",450,$4.62,1964,0,Washer Hookup,No,1-Year,Unfurnished,213-999-0073,"5,043"
SR25201301MR,Condominium,5143,5143   Bakman AVE #408,NORTH HOLLYWOOD,91601,1,1.00 (1 0 0 0),,$500.00,,"$2,090",$0,"$2,090",664,$3.15,1988,1,"Community,Laundry Area",,1-Year,Unfurnished,818-402-6508,"32,055"
25587867,Apartment,3376,3376   Descanso Dr #5,Los Angeles,90026,1,1.00 (1 0 0 0),,,,"$2,095","$2,095","$2,095",650,$3.22,1964,1,Community,No,1+Year,Unfurnished,310-905-9479,"5,276"
25589399,,823,823   Highland Ave #8,Glendale,91202,1,1.00 (1 0 0 0),,,,"$2,099","$2,099","$2,099",660,$3.18,1948,0,Community,Yes,"1+Year,1-Year,12 Months,24 Months",Unfurnished,310-988-0773,660
25588747,,11910,11910   Elkwood St ,North Hollywood,91605,1,1.00 (1 0 0 0),,,,"$2,100","$2,150","$2,100",375,$5.60,2024,1,In Kitchen,Yes,1+Year,Unfurnished,310-467-5993,"6,752"
CV25202524MR,Apartment,15721,15721   Freeman AVE #5,LAWNDALE,90260,1,1.00 (1 0 0 0),,$0.00,100,"$2,100","$2,000","$2,100",600,$3.50,1958,0,"Community,Laundry Area",No,1-Year,Unfurnished,626-536-8942,"6,390"
25587597,,7669,7669   Beeman Ave ,North Hollywood,91605,0,1.00 (1 0 0 0),,,,"$2,100","$2,100","$2,100",350,$6,2025,2,In Kitchen,Yes,1+Year,Unfurnished,310-467-5993,"6,049"
25586707,Apartment,4131,4131   Palmwood Dr #6,Los Angeles,90008,2,1.00 (1 0 0 0),,,,"$2,100","$2,100","$2,100","1,100",$1.91,1954,0,None,No,12 Months,Unfurnished,818-533-8845,"7,334"
25581145,Single Family,4900,4900   FORT TEJON RD ,PALMDALE,93552,3,1.00 (1 0 0 0),,,,"$2,400","$2,400","$2,100","1,400",$1.50,,5,In Kitchen,Call,"Negotiable,12 Months",Unfurnished,310-871-1030,"30,000"
PW25199840MR,,614,614  W 84th ST #614,LOS ANGELES,90044,2,1.00 (1 0 0 0),,$500.00,100,"$2,100","$2,350","$2,100",500,$4.20,1946,0,"Gas Dryer Hookup,Washer,Washer Included",,1-Year,Unfurnished,949-402-7025,"6,510"
25586887,,139,139 1/2  Hart Ave ,Santa Monica,90405,0,1.00 (1 0 0 0),,,,"$2,150","$2,150","$2,150",300,$7.17,1905,0,"Community,Garage",No,1+Year,Unfurnished,407-342-7696,"2,361"
SR25195360MR,Condominium,1601,1601   College View DR #12,MONTEREY PARK,91754,1,1.00 (1 0 0 0),,$0.00,,"$2,175","$2,175","$2,175",700,$3.11,1960,1,None,,1-Year,Unfurnished,818-802-9589,"16,410"
SB25200106MR,Apartment,3649,3649   Emerald ST #130,TORRANCE,90503,1,1.00 (1 0 0 0),,$0.00,,"$2,175","$2,175","$2,175",544,$4.00,1968,1,Laundry Area,No,1-Year,Unfurnished,424-732-2821,"64,520"
SR25196188MR,Apartment,5128,5128   Woodlawn AVE ,LOS ANGELES,90011,1,1.00 (1 0 0 0),,$250.00,100,"$2,795","$2,795","$2,195",642,$3.42,1951,0,None,,1-Year,Unfurnished,747-305-4628,"5,082"
25586081,,5018,5018  S Harvard Blvd ,Los Angeles,90062,2,1.00 (1 0 0 0),,,,"$2,195","$2,195","$2,195",500,$4.39,1938,1,In Unit,Yes,1+Year,Unfurnished,323-542-3682,"5,201"
25587241,,155,155  S Saltair Ave ,Los Angeles,90049,0,1.00 (1 0 0 0),,,,"$2,200","$2,200","$2,200",500,$4.40,1955,0,Inside,Call,1+Year,Both,310-756-4814,"8,723"
CV25200202MR,Condominium,877,877   Francisco ST #521,LOS ANGELES,90017,0,1.00 (1 0 0 0),,$500.00,300,"$2,200","$2,200","$2,200",503,$4.37,2017,1,"Dryer,Dryer Included,In Closet,Washer,Washer Included",,1-Year,Unfurnished,,"128,921"
CV25198076MR,Apartment,144,144   Baseline RD #9,SAN DIMAS,91773,2,1.00 (1 0 0 0),,$0.00,,"$2,200","$2,200","$2,200",962,$2.29,1963,0,Community,No,1-Year,Unfurnished,,962
DW25199706MR,Apartment,2341,2341   Sheridan ST ,LOS ANGELES,90033,1,1.00 (1 0 0 0),,$100.00,100,"$2,200","$2,200","$2,200",475,$4.63,2025,0,None,,1-Year,,949-903-6633,"6,234"
25588925,Apartment,12942,12942   Moorpark St #5,Studio City,91604,1,1.00 (1 0 0 0),,,,"$2,200","$2,200","$2,200",650,$3.38,1958,1,Community,Yes,"1+Year,1-Year",Unfurnished,310-463-5181,"7,153"
25589313,,411,411  N Kenmore Ave #5,Los Angeles,90004,2,2.00 (2 0 0 0),,,,"$2,200","$2,200","$2,200","1,000",$2.20,1989,2,Community,No,1+Year,Unfurnished,213-249-8949,"6,932"
SR25196955MR,Single Family,17546,17546   Martha ST ,ENCINO,91316,1,1.00 (1 0 0 0),,$500.00,,"$2,200","$2,200","$2,200",400,$5.50,2022,0,"Dryer,Dryer Included,Inside,Washer,Washer Included",,1-Year,Furnished,213-422-2448,400
SR25198386MR,Condominium,18645,18645   Hatteras ST #203,TARZANA,91356,1,1.00 (1 0 0 0),,$500.00,,"$2,200","$3,400","$2,200",758,$2.90,1973,0,"Community,Laundry Area,Outside",Yes,1-Year,Unfurnished,619-456-5367,"230,148"
P1-23998PF,Apartment,5137,5137  E 6th ST ,EAST LOS ANGELES,90022,2,1.00 (1 0 0 0),,$500.00,75,"$2,200","$2,200","$2,200","1,000",$2.20,1939,0,None,,1-Year,Unfurnished,(310) 428-8644,"5,734"
GD25201355IT,,7402,7402   Riverton ave ,SUN VALLEY,91352,1,1.00 (1 0 0 0),,$0.00,,"$2,200","$2,200","$2,200",400,$5.50,1949,0,Inside,,1-Year,Unfurnished,,"1,800"
TR25198011MR,Townhouse,1330,1330   Stevens AVE #E,SAN GABRIEL,91776,2,1.00 (1 0 0 0),,$300.00,100,"$2,300","$2,300","$2,200",700,$3.14,1961,1,Laundry Area,,1-Year,Unfurnished,626-625-2688,"10,154"
25589225,,5529,5529   Bonner Ave #1,North Hollywood,91601,1,1.00 (1 0 0 0),,,,"$2,100","$2,100","$2,250",650,$3.46,1963,1,"Laundry Area,Community",Call,1-Year,Unfurnished,818-815-7112,"7,251"
25589513,,345,345  S Gramercy Pl #202,Los Angeles,90020,1,1.00 (1 0 0 0),,,,"$2,250","$2,250","$2,250",750,$3,2013,1,In Unit,Yes,1+Year,Unfurnished,213-255-1298,"23,634"
CV25201110MR,Apartment,3859,3859   Tilden AVE #6,CULVER CITY,90232,1,1.00 (1 0 0 0),,$500.00,,"$2,250","$2,250","$2,250",650,$3.46,1956,1,"Laundry Area,Outside,Room",,1-Year,Unfurnished,909-450-7415,"7,565"
GD25199676IT,Apartment,1128,1128   Irving AVE #D,GLENDALE,91201,1,1.00 (1 0 0 0),,$0.00,,"$2,250","$2,250","$2,250",520,$4.33,1925,1,Laundry Area,Yes,1-Year,Unfurnished,818-919-5685,"6,557"
AR25200669MR,Single Family,2315,2315   Granada AVE #B,SOUTH EL MONTE,91733,2,1.00 (1 0 0 0),,$250.00,,"$2,250","$2,250","$2,250",550,$4.09,1947,1,"Gas Dryer Hookup,Washer Hookup",,1-Year,Unfurnished,626-824-5184,"9,123"
25587791,,11910,11910   Elkwood St ,North Hollywood,91605,1,1.00 (1 0 0 0),,,,"$2,250","$2,150","$2,250",375,$6,2024,1,In Kitchen,Yes,1+Year,Unfurnished,310-467-5993,"6,752"
25586913,,1330,1330  S WILTON PL #9,LOS ANGELES,90019,2,1.00 (1 0 0 0),,,,"$2,250","$2,150","$2,250",800,$2.81,1960,0,Room,No,1-Year,Unfurnished,323-250-2715,"13,161"
