 L.A. County rental listings 6-16-2025,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
25554555,Apartment,920,920  S Hobart Blvd #406,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,200","$1,200","$1,200",500,$2.40,,0,Community,Yes,1+Year,Unfurnished,213-285-7934,"9,028"
AR25140056MR,Condominium,1701,1701   Crest View  ,POMONA,91768,1,1.00 (1 0 0 0),,$0.00,,"$1,180","$1,250","$1,250",300,$4.17,2018,0,"Garage,Other",No,1-Year,Furnished,626-390-8755,"10,000"
25554045,,738,738   New Hampshire Ave #206,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$1,295","$1,295","$1,295",,$0,,0,Community,Yes,12 Months,Unfurnished,310-488-5459,"30,000"
25556163,,2422,2422   Venice Blvd ,Los Angeles,90019,0,1.00 (1 0 0 0),,,,"$1,300","$1,300","$1,300",,$0,1913,4,Community,No,1+Year,Both,213-494-8501,"6,008"
SB25139646MR,,1052,1052  W 109th Place  #1/2,LOS ANGELES,90044,0,1.00 (1 0 0 0),,$0.00,,"$1,350","$1,350","$1,350",650,$2.08,1941,0,None,,1-Year,Unfurnished,310-488-8962,
25553987,,335,335  S Berendo St #307,Los Angeles,90020,0,1.00 (1 0 0 0),,,,"$1,399","$1,399","$1,399",546,$2.56,1925,0,Community,Yes,12 Months,Unfurnished,310-710-9361,"9,354"
25553955,,4826,4826   Coolidge Ave #B,Culver City,90230,0,1.00 (1 0 0 0),,,,"$1,450","$1,450","$1,450",260,$5.58,1950,0,"Room,Laundry Area",No,1+Year,Furnished,310-922-5717,"8,503"
WS25116748MR,Single Family,4155,4155   Gibson Rd ,EL MONTE,91731,1,1.00 (1 0 0 0),,$0.00,,"$1,450","$1,500","$1,450",350,$4.14,2004,2,Garage,No,1-Year,Unfurnished,626-786-9086,"7,329"
PW25139985MR,Single Family,2051,2051  W 85th Street Unit #C  ,LOS ANGELES,90047,0,1.00 (1 0 0 0),,$0.00,,"$1,499","$1,500","$1,499",400,$3.75,1928,0,"Gas Dryer Hookup,Washer Hookup",No,1-Year,Unfurnished,714-580-2338,"5,719"
GD25141035IT,Single Family,10432,10432   Langdon AVE ,MISSION HILLS,91345,0,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",400,$3.75,1953,0,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,818-281-8812,"7,521"
PW25140622MR,Condominium,617,617   Cedar AVE #15,LONG BEACH,90802,0,1.00 (1 0 0 0),,$0.00,,"$1,595","$1,595","$1,595",400,$3.99,1955,0,Other,No,Month-to-Month,Unfurnished,,"7,504"
25553991,,603,603  S Cochran Ave #111,Los Angeles,90036,0,1.00 (1 0 0 0),,,,"$1,599","$1,599","$1,599",500,$3.20,1929,0,Community,Call,12 Months,Unfurnished,310-710-9361,"15,601"
SB25139172MR,Apartment,1758,1758  W 110th ST ,LOS ANGELES,90047,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",700,$2.29,1949,0,"Gas Or Electric Dryer Hookup,Washer Hookup",,1-Year,Unfurnished,424-732-2821,"6,216"
25555395,Apartment,115,115  N Oak St #28,Inglewood,90301,0,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",360,$4.71,1958,1,"Outside,Community",Yes,12 Months,Unfurnished,310-844-4812,"34,121"
25555397,Apartment,115,115  N Oak St #29,Inglewood,90301,0,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",360,$4.71,1958,1,"Outside,Community",Yes,12 Months,Unfurnished,310-844-4812,"34,121"
25555465,,435,435  W 4TH ST ,LONG BEACH,90802,1,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",750,$2.26,1919,0,None,No,1+Year,Unfurnished,714-750-9558,"4,515"
25555921,Apartment,2232,2232  W 24th St #105,Los Angeles,90018,0,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",450,$3.77,1963,0,Room,Yes,1+Year,Unfurnished,310-438-5885,"18,755"
PW25138577MR,,5726,5726 1/2  Rocket ST ,LAKEWOOD,90713,0,1.00 (1 0 0 0),1699,$0.00,50,"$1,699","$1,699","$1,699",570,$2.98,1944,1,Community,No,1-Year,Unfurnished,562-279-4979,"7,278"
NP25139884MR,Condominium,430,430  N Holliston AVE ,PASADENA,91106,1,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",562,$3.02,1988,2,Community,,"1-Year,Month-to-Month,Other",Unfurnished,916-916-9903,"30,068"
25555491,,650,650 656  Park Ave ,Long Beach,90814,0,1.00 (1 0 0 0),,,,"$1,700","$1,700","$1,700",350,$4.86,1941,0,In Unit,No,12 Months,Unfurnished,949-510-4350,"5,835"
25555177,,1038,1038  S Harvard Blvd ,Los Angeles,90006,1,1.00 (1 0 0 0),,,,"$1,700","$1,700","$1,700",600,$2.83,1962,1,None,No,1+Year,Unfurnished,213-249-8949,"5,902"
25554005,Apartment,5242,5242   Mccallum Ave ,South Gate,90280,1,1.00 (1 0 0 0),,,,"$1,700","$1,700","$1,700",525,$3.24,1951,7,None,No,1+Year,Unfurnished,310-408-0121,"9,220"
GD25136790IT,,10943,10943   Nassau AVE ,SUNLAND,91040,0,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",396,$4.42,1952,0,Inside,No,1-Year,Unfurnished,818-437-2433,"6,182"
SR25137765MR,Apartment,1025,1025  S Berendo ST #207,LOS ANGELES,90006,0,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",416,$4.21,2019,1,"In Closet,Laundry Closet Stacked,Stackable W/D Hookup",,1-Year,Unfurnished,818-201-8724,"5,904"
WS25138930MR,Apartment,253,253  E Villa ST #6,PASADENA,91101,1,1.00 (1 0 0 0),,$500.00,,"$1,750","$1,750","$1,750",600,$2.92,1954,1,None,No,1-Year,Unfurnished,,"16,821"
WS25137646MR,Apartment,700,700  N Hill PL #203,LOS ANGELES,90012,1,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,800",875,$2.06,2008,1,Community,No,1-Year,Unfurnished,626-348-1863,"11,689"
SR25138369MR,Apartment,8371,8371   Northgate Ave #19,CANOGA PARK,91304,1,1.00 (1 0 0 0),,$500.00,,"$1,800","$1,800","$1,800",700,$2.57,1964,0,Laundry Area,,1-Year,Unfurnished,661-414-2318,"17,567"
