MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
25549747,,425,425  S Grand View St #509,Los Angeles,90057,0,1.00 (1 0 0 0),,,,"$1,099","$1,099","$1,099",532,$2.07,1928,0,Community,Call,12 Months,Unfurnished,310-710-9361,"7,502"
RS25124950MR,Combo - Res &amp; Com,10712,10712  S Hoover ST #B,LOS ANGELES,90044,0,1.00 (1 0 0 0),,$0.00,,"$1,200","$2,750","$1,200",600,$2,1925,0,Community,No,1-Year,Unfurnished,562 208-1889,"5,007"
GD25125446IT,Single Family,10545,10545 1/2  Leolang AVE ,SUNLAND,91040,0,1.00 (1 0 0 0),,$0.00,,"$1,400","$1,400","$1,400",250,$5.60,1955,0,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Unfurnished,818-281-8812,"5,761"
TR25125343MR,,1500,1500   Magnolia AVE #1B,LONG BEACH,90813,1,1.00 (1 0 0 0),,$0.00,,"$1,495","$1,500","$1,495",350,$4.27,1918,0,Inside,No,1-Year,Unfurnished,909-282-0628,"3,151"
25549731,,4011,4011  S Halldale Ave ,Los Angeles,90062,1,1.00 (1 0 0 0),,,,"$1,500","$1,500","$1,500",600,$2.50,1910,0,None,No,1-Year,Unfurnished,213-305-5636,"7,970"
25548863,,613,613  S Prairie Ave #7,Inglewood,90301,0,1.00 (1 0 0 0),,,,"$1,547","$1,547","$1,547",,$0,1955,0,None,Call,1-Year,Unfurnished,310-710-0601,"8,255"
IN25124226MR,Apartment,20415,20415   Anza AVE ,TORRANCE,90503,0,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",450,$3.67,1964,1,Community,No,1-Year,Unfurnished,310-953-7114,"20,641"
25550489,,522,522  E Kelso St ##5,Inglewood,90301,1,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",0,$0,1950,1,"Laundry Area,Outside",Call,1+Year,Unfurnished,323-578-8423,"19,581"
25548993,,7524,7524   Sepulveda Blvd #107,Van Nuys,91405,1,1.00 (1 0 0 0),,,,"$1,697","$1,697","$1,697",,$0,1963,0,Community,Call,1-Year,Unfurnished,310-710-0601,"13,333"
25549385,,824,824  S Bonnie Brae St #10,Los Angeles,90057,0,1.00 (0 1 0 0),,,,"$1,700","$1,700","$1,700",600,$2.83,1893,1,Community,No,1+Year,Furnished,213-703-8934,"12,002"
GD25125972IT,Apartment,53,53 1/2 N Baldwin AVE ,SIERRA MADRE,91024,0,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",350,$4.86,1941,0,Inside,No,1-Year,Unfurnished,818-437-2433,"5,425"
GD25126046IT,Apartment,5434,5434   Sierra Vista AVE #22,LOS ANGELES,90038,0,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,700",338,$5.03,1958,0,Laundry Area,No,1-Year,Unfurnished,818-207-9999,"18,915"
GD25126390IT,Single Family,7822,7822   Hazeltine Ave ,PANORAMA CITY,91402,1,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",500,$3.40,1949,0,None,No,1-Year,Unfurnished,818-281-8812,"5,588"
CV25126972MR,Apartment,820,820  N Azusa AVE #7,WEST COVINA,91791,2,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",612,$2.78,1957,1,Community,No,Month-to-Month,Unfurnished,909-750-1763,"29,361"
SR25123484MR,Apartment,330,330  W Laurel ST #B,COMPTON,90220,1,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",500,$3.40,1958,1,Community,No,1-Year,Unfurnished,818-731-8167,"1,100"
SR25126012MR,,22301,22301   Wyandotte ST #c,CANOGA PARK,91303,0,1.00 (0 1 0 0),,$500.00,35,"$1,750","$2,000","$1,750",350,$5,1956,0,Community,,1-Year,Unfurnished,818-621-8432,"7,613"
OC25109636MR,Apartment,1911,1911  N Santa Fe AVE #5,COMPTON,90221,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750","8,085",$0.22,1962,2,None,No,1-Year,Unfurnished,562-673-3873,"12,064"
25549307,,220,220  N Louise St ,Glendale,91206,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",500,$3.50,1950,1,Laundry Area,No,12 Months,Unfurnished,818-428-0454,"7,485"
25548479,,22602,22602   Hatteras St #B,Woodland Hills,91367,0,1.00 (1 0 0 0),,,,"$1,750","$4,000","$1,750",500,$3.50,,0,In Unit,Call,"Month-to-Month,Negotiable,Season,1+Year,1-Year",Furnished,213-700-6515,0
25550413,,5520,5520   Franklin Ave #1/2,Los Angeles,90028,0,1.00 (0 1 0 0),,,,"$1,795","$1,795","$1,795",450,$3.99,,1,None,Call,1+Year,Unfurnished,818-277-1689,"8,000"
BB25127687MR,Apartment,319,319  N Coronado ST ,LOS ANGELES,90026,1,1.00 (1 0 0 0),,$500.00,,"$1,799","$1,799","$1,799",600,$3.00,1929,0,None,No,1-Year,Unfurnished,3232009522,"9,558"
AR25129454MR,Apartment,10037,10037   Samoa AVE #17,TUJUNGA,91042,1,1.00 (1 0 0 0),,$600.00,25,"$1,800","$1,800","$1,800",550,$3.27,1986,4,"Laundry Area,Room",,1-Year,Unfurnished,626-665-3457,"14,263"
DW25124932MR,Apartment,1064,1064  W 18th ST ,SAN PEDRO,90731,1,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,800",700,$2.57,1925,0,"Gas Dryer Hookup,Inside,Room,Washer Hookup",,1-Year,Unfurnished,714-862-3654,"5,000"
25549563,Condominium,5460,5460   White Oak Ave #A105,Encino,91316,1,1.00 (1 0 0 0),,,,"$1,800","$1,800","$1,800",683,$2.64,1971,0,"Community,Laundry Area",Yes,"1+Year,1-Year,12 Months",Unfurnished,818-646-2667,"406,432"
SR25127077MR,Apartment,14400,14400   Friar ST #301,VAN NUYS,91401,1,1.00 (1 0 0 0),25,$500.00,,"$1,800","$1,950","$1,800",800,$2.25,2016,2,"Dryer,Dryer Included,Gas Dryer Hookup,Inside",,1-Year,Unfurnished,818-324-3334,"10,527"
SR25128837MR,Apartment,7039,7039   Remmet AVE #I,CANOGA PARK,91303,1,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,850",655,$2.82,1985,0,Community,,1-Year,Unfurnished,818-426-1117,"7,506"
25550311,,429,429  N Hayworth Ave #18,Los Angeles,90048,0,1.00 (1 0 0 0),,,,"$1,895","$1,895","$1,895",400,$4.74,,0,In Unit,Yes,1-Year,Unfurnished,310-473-3000,"13,227"
25548923,Single Family,20750,20750   Stagg St ,Winnetka,91306,0,1.00 (1 0 0 0),,,,"$1,900","$1,900","$1,900",450,$4.22,1960,2,In Unit,Call,1+Year,Unfurnished,818-858-9272,"7,509"
SR25125254MR,Condominium,19126,19126   Avenue Of The Oaks  #A,NEWHALL,91321,2,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900",806,$2.36,1963,474,Laundry Area,No,1-Year,Unfurnished,661-341-6226,"507,525"
TR25127007MR,Apartment,3249,3249   Hill ST #A,HUNTINGTON PARK,90255,1,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900",597,$3.18,1927,2,Inside,No,"1-Year,Negotiable",Unfurnished,626-552-8637,"4,694"
WS25126446MR,Apartment,428,428  N Electric AVE #E,ALHAMBRA,91801,1,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900",600,$3.17,1963,1,Community,,1-Year,Unfurnished,626-251-3389,"7,876"
