MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
25582465,Condominium,1281,1281  W 38th St ,Los Angeles,90037,1,1.00 (1 0 0 0),,,,$800,$800,$800,150,$5.33,1974,0,In Unit,Call,12 Months,Unfurnished,310-497-4362,"13,777"
25581601,Apartment,729,729  S Union Ave #207,Los Angeles,90017,0,1.00 (1 0 0 0),,,,$995,$995,$995,200,$4.98,1924,0,Community,No,1-Year,Unfurnished,310-207-2288,"14,998"
OC25191480MR,Apartment,240,240   Linden AVE #A2,LONG BEACH,90802,0,1.00 (1 0 0 0),,$250.00,,"$1,200","$1,200","$1,200",380,$3.16,1905,0,"Community,Outside",,Negotiable,Unfurnished,714-264-6619,"3,757"
25581729,Apartment,729,729  S Union Ave #228,Los Angeles,90017,1,1.00 (1 0 0 0),,,,"$1,250","$1,250","$1,250",,$0,1924,0,Community,No,1-Year,Unfurnished,310-207-2288,"14,998"
25582595,,814,814  S Hobart Blvd #306,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$1,300","$1,300","$1,300",325,$4,1930,1,"Community,Laundry Area",Yes,1+Year,Unfurnished,310-500-5621,"9,043"
CV25189768MR,,3530,3530   Damien AVE #257,LA VERNE,91750,1,1.00 (1 0 0 0),120,$0.00,50,"$1,300","$1,300","$1,300","1,750",$0.74,1978,1,"Dryer,Dryer Included,Room,Washer,Washer Included",No,"Month-to-Month,Other",Furnished,909-477-7224,"1,750"
CV25189486MR,Apartment,1859,1859   W Vernon Ave ,LOS ANGELES,90062,1,1.00 (1 0 0 0),,$0.00,,"$1,600",$0,"$1,400",750,$1.87,1924,0,None,No,Negotiable,Unfurnished,626-806-7129,"5,741"
25580571,,6126,6126   Eleanor Ave #1,Los Angeles,90038,0,1.00 (1 0 0 0),,,,"$1,400","$1,400","$1,400",400,$3.50,1959,0,"Laundry Area,Community",Call,1+Year,Unfurnished,310-770-8815,"12,980"
25581505,,3288,3288   San Marino St ,Los Angeles,90006,0,1.00 (1 0 0 0),,,200,"$1,500","$1,500","$1,500",560,$2.68,1907,4,None,Call,1+Year,Unfurnished,213-705-1111,"5,908"
PW25190095MR,Apartment,1777,1777   Cerritos AVE #6,LONG BEACH,90813,2,1.00 (1 0 0 0),,$500.00,,"$1,500","$1,500","$1,500",600,$2.50,1923,0,Laundry Area,,1-Year,Unfurnished,,"6,455"
