MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
CV25175285MR,Single Family,610,610 1/2 W Glen Lyn DR ,GLENDORA,91740,0,1.00 (1 0 0 0),,$0.00,,$850,$850,$850,197,$4.31,1954,0,Outside,No,1-Year,Unfurnished,909-938-0441,"6,462"
25571779,,1144,1144   ECHO PARK AVE #3/4,LOS ANGELES,90026,0,1.00 (1 0 0 0),,,,"$1,000","$1,000","$1,000",250,$4,1910,0,Community,No,1-Year,Unfurnished,323-782-1260,"3,722"
TR25175695MR,,651,651  S Oak tree DR ,COVINA,91723,1,1.00 (1 0 0 0),,$0.00,,"$1,100","$1,100","$1,100",650,$1.69,1976,0,"Dryer,Dryer Included,Washer,Washer Included",,1-Year,Furnished,909-282-0628,"6,202"
AR25173973MR,Single Family,1222,1222  W 35th ST ,LOS ANGELES,90007,6,6.00 (6 0 0 0),200,$0.00,,"$1,280","$1,300","$1,280","2,480",$0.52,2020,2,"Dryer,Dryer Included,Washer,Washer Included",No,1-Year,Furnished,626-482-2255,"7,500"
25573237,Apartment,453,453  N Kingsley Dr #10,Los Angeles,90004,0,1.00 (1 0 0 0),,,,"$1,300","$1,300","$1,300",350,$3.71,1961,9,None,No,1+Year,Unfurnished,213-705-1111,"7,448"
AR25174650MR,Apartment,1421,1421  S Valencia ST ,LOS ANGELES,90015,0,1.00 (1 0 0 0),,$500.00,100,"$1,480","$1,480","$1,480",390,$3.79,1924,0,None,,1-Year,Unfurnished,626-482-2255,"4,000"
DW25175601MR,Apartment,3300,3300   Nebraska  ,SOUTH GATE,90280,1,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",420,$3.57,1947,0,None,Yes,Month-to-Month,Unfurnished,562-658-8739,"5,025"
PW25172688MR,Apartment,4055,4055   Wall ST ,LOS ANGELES,90011,1,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",600,$2.50,1905,0,Community,,1-Year,Unfurnished,818-464-5707,"7,130"
25574155,,324,324  E Esther St #12,Long Beach,90813,1,1.00 (1 0 0 0),,,,"$1,545","$1,545","$1,545",700,$2.21,,1,None,Yes,1+Year,Unfurnished,310-691-6199,0
25574181,,5493,5493   Atlantic Ave #2,Long Beach,90805,1,1.00 (1 0 0 0),,,,"$1,595","$1,595","$1,595",850,$1.88,,0,"Laundry Area,Room",Yes,1+Year,Unfurnished,310-691-6199,0
25574189,,543,543  W 16th  #B,San Pedro,90731,1,1.00 (1 0 0 0),,,,"$1,595","$1,595","$1,595",800,$1.99,,0,None,Yes,1+Year,Unfurnished,310-691-6199,0
82016496ML,,3565,3565   Linden AVE ,Long Beach,90807,1,1.00 (1 0 0 0),,,,"$1,600","$1,600","$1,600",660,$2.42,1973,,,,"Credit Report Required,Deposit Required,Other Lease Terms",,,0
PW25175464MR,Condominium,800,800  E Ocean BLVD #1407,LONG BEACH,90802,0,1.00 (1 0 0 0),150,"$3,000.00",150,"$1,695","$1,695","$1,695",296,$5.73,1928,0,"Community,Laundry Area,Room",No,"1-Year,Month-to-Month",Furnished,949-510-2370,"51,693"
SB25174832MR,,24407,24407 1/2  Alliene AVE ,LOMITA,90717,1,1.00 (1 0 0 0),,$0.00,100,"$1,700","$1,700","$1,700",500,$3.40,2003,0,Inside,No,1-Year,Furnished,310-753-0502,"7,331"
WS25155315MR,Apartment,516,516  E Lomita AVE #15,GLENDALE,91205,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,700","$1,700",550,$3.09,1950,0,Community,,1-Year,Unfurnished,3236577591,"14,109"
