MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
WS25196370MR,Condominium,856,856  E Mountain WAY #C Room 1,AZUSA,91702,3,3.00 (3 0 0 0),,$0.00,,$900,"$1,800",$900,"1,532",$0.59,2012,1,Room,No,1-Year,Furnished,818-399-2249,"34,310"
TR25196006MR,,409,409  S Marguerita AVE ,ALHAMBRA,91803,1,1.00 (1 0 0 0),,$0.00,,"$1,170","$1,800","$1,170","3,051",$0.38,1988,0,Inside,No,1-Year,Unfurnished,909-282-0628,"16,218"
IV25197380MR,Apartment,605,605  S Fox ST #A,SAN FERNANDO,91340,1,1.00 (1 0 0 0),,$0.00,,"$1,300","$1,300","$1,300",400,$3.25,1954,0,None,,1-Year,Unfurnished,951-454-2710,"4,980"
25584439,,335,335  S Berendo St #407,Los Angeles,90020,0,1.00 (1 0 0 0),,,,"$1,399","$1,399","$1,399",546,$2.56,1925,0,Community,Yes,12 Months,Unfurnished,310-710-9361,"9,354"
25585595,Apartment,112,112  N Lincoln Ave ,Burbank,91506,1,1.00 (1 0 0 0),,,,"$1,400","$1,400","$1,400",291,$4.81,1939,1,None,No,12 Months,Unfurnished,323-868-0004,"4,982"
PF25196259PF,Apartment,4711,4711   Butterfly LN ,LOS ANGELES,90032,1,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",500,$3,1926,1,None,No,1-Year,Unfurnished,323-702-4341,"5,711"
OC25195646MR,,1230,1230   Stovall AVE ,HACIENDA HEIGHTS,91745,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",675,$2.44,1959,0,"Dryer,Dryer Included,Garage,Washer,Washer Included",No,"1-Year,Other",Furnished,949-500-7399,"6,246"
25584971,,2121,2121   James M Wood Blvd #415,Los Angeles,90006,1,1.00 (1 0 0 0),,,,"$1,650","$1,650","$1,650",460,$3.59,1923,0,Community,Call,1-Year,Unfurnished,833-832-6770,"21,313"
SB25195251MR,Apartment,1933,1933   Pelham AVE #2,LOS ANGELES,90025,0,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",335,$4.93,1962,0,Laundry Area,,1-Year,Unfurnished,424-732-2821,"6,755"
SR25196140MR,Apartment,14151,14151   Paramount BLVD #7,PARAMOUNT,90723,0,1.00 (1 0 0 0),,$250.00,,"$1,695","$1,695","$1,695","5,722",$0.30,1926,3,None,,1-Year,Unfurnished,747-305-4628,"5,001"
25584443,,665,665  S COCHRAN AVE #207,LOS ANGELES,90036,0,1.00 (1 0 0 0),,,,"$1,699","$1,699","$1,699",634,$2.68,1929,0,Community,Yes,12 Months,Unfurnished,310-710-9361,"11,322"
25586505,Apartment,443,443  S Wilton Pl #9,Los Angeles,90020,1,1.00 (1 0 0 0),,,,"$1,700","$1,700","$1,700",,$0,1957,1,Community,Call,1+Year,Unfurnished,213-999-4345,"19,907"
SR25194976MR,,21223,21223   velicata  ,WOODLAND HILLS,91364,0,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",400,$4.25,2020,0,None,,Negotiable,Unfurnished,310-844-2334,"7,000"
25584855,,525,525  S Ardmore Ave #239,Los Angeles,90020,0,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",368,$4.76,1973,1,Community,Yes,"1+Year,Negotiable",Furnished,213-222-7574,"73,513"
DW25195954MR,Single Family,1776,1776   Stanton  ,LONG BEACH,90804,1,1.00 (1 0 0 0),,"$1,000.00",,"$1,795","$1,795","$1,795","1,100",$1.63,1920,0,Community,,1-Year,Unfurnished,562-400-2148,"8,500"
25584429,,335,335  S Berendo St #301,Los Angeles,90020,1,1.00 (1 0 0 0),,,,"$1,799","$1,799","$1,799",836,$2.15,1925,0,Community,Yes,12 Months,Unfurnished,310-710-9361,"9,354"
AR25197209MR,Single Family,1165,1165   Poppy CT ,MONTEBELLO,90640,1,1.00 (1 0 0 0),,$0.00,,"$1,800","$2,000","$1,800",600,$3,2023,2,"Electric Dryer Hookup,Garage,Gas Or Electric Dryer Hookup,Hookup - Electric",No,1-Year,Furnished,702-588-1080,"4,000"
SR25193356MR,Single Family,7741,7741   Paso Robles AVE ,LAKE BALBOA,91406,0,1.00 (1 0 0 0),1800,$0.00,,"$1,800","$1,800","$1,800",400,$4.50,1949,0,None,No,1-Year,Unfurnished,213-842-1609,"7,203"
SR25194751MR,,8963,8963   Mercedes  ,ARLETA,91331,0,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,800",400,$4.50,2018,0,None,No,1-Year,Furnished,818-518-0301,
219134619PS,Single Family,156,156  S Roosevelt AVE ,Pasadena,91107,1,1.00 (1 0 0 0),,,,"$1,815","$1,815","$1,815",600,$3.03,1926,0,In Closet,,,Unfurnished,(213) 422-7676,"10,213"
