MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
25611111,,6752,6752   Hillpark Dr #303,Los Angeles,90068,2,2.00 (2 0 0 0),,,,"$3,650","$3,490",$349,"1,125",$0.31,1966,1,Community,Call,1+Year,Unfurnished,323-205-7399,"509,619"
WS25238162MR,Single Family,1140,1140  S Spring Meadow  ,WEST COVINA,91791,2,2.00 (2 0 0 0),,$200.00,100,$950,$950,$950,"1,994",$0.48,1954,0,Outside,,1-Year,Furnished,626-693-9777,"66,996"
PV25244857MR,,25626,25626 1/2  Oak St ST ,LOMITA,90717,1,1.00 (0 1 0 0),,$500.00,,$995,$995,$995,158,$6.30,1979,0,"Dryer,Dryer Included,Washer,Washer Included",,"Negotiable,Other",Furnished,310-487-6132,"33,241"
25611729,,225,225  E Garfield Ave #205,Glendale,91205,0,1.00 (1 0 0 0),,,,"$1,375","$1,375","$1,375",350,$3.93,1929,0,None,Call,"1+Year,1-Year",Unfurnished,310-919-6655,"10,103"
LG25248715MR,,15826,15826  S Vermont AVE #2,GARDENA,90247,0,1.00 (0 1 0 0),,$0.00,,"$1,375","$1,375","$1,375",250,$5.50,2024,0,None,No,1-Year,Unfurnished,949-861-0738,
25611965,Apartment,11472,11472   VENTURA  #2,STUDIO CITY,91604,0,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",200,$7.48,1941,1,None,Call,1+Year,Unfurnished,818-640-3863,"6,250"
PW25245077MR,Condominium,18427,18427   Vincennes  #5,NORTHRIDGE,91325,1,1.00 (1 0 0 0),,$0.00,50,"$1,495","$1,200","$1,495","1,097",$1.36,1984,2,In Closet,No,Month-to-Month,Unfurnished,,
WS25247190MR,Apartment,1413,1413  S Almansor  #G,ALHAMBRA,91801,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",450,$3.56,1962,1,None,No,1-Year,Unfurnished,626-823-0067,"9,197"
DW25245559MR,Apartment,3136,3136   Flower  ,LYNWOOD,90262,1,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650",750,$2.20,1948,1,Garage,No,1-Year,Unfurnished,323-327-3330,"6,501"
25611395,,6736,6736   Woodley Ave #1,Van Nuys,91406,1,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",600,$2.83,1979,1,Community,Yes,1+Year,Unfurnished,310-922-6691,"25,222"
IN25227614MR,Apartment,20415,20415   Anza AVE ,TORRANCE,90503,0,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,500","$1,700",450,$3.78,1964,1,Community,No,1-Year,Unfurnished,310-953-7114,"20,641"
25610951,,1844,1844   18th St ,Santa Monica,90404,0,1.00 (1 0 0 0),,,,"$1,700","$1,700","$1,700",200,$8.50,1946,0,None,No,1+Year,Unfurnished,310-678-6443,"7,748"
25610571,Apartment,1044,1044  N BONNIE BRAE ST #206,LOS ANGELES,90026,0,1.00 (1 0 0 0),,$500.00,,"$1,700","$1,650","$1,700",850,$2,1922,0,Community,Call,1+Year,Unfurnished,323-782-1260,"7,626"
25610573,Apartment,1044,1044  N BONNIE BRAE ST #202,LOS ANGELES,90026,0,1.00 (1 0 0 0),,$500.00,,"$1,750","$1,700","$1,700",850,$2,1922,0,Community,Call,1+Year,Unfurnished,323-782-1260,"7,626"
PW25244698MR,Apartment,1738,1738  E 4th ST #8,LONG BEACH,90802,1,1.00 (1 0 0 0),,$0.00,,"$1,700","$1,700","$1,700",500,$3.40,1924,2,Community,,1-Year,Unfurnished,562-981-4494,"15,144"
PV25245796MR,Apartment,7745,7745   Laurel Canyon BLVD #21,NORTH HOLLYWOOD,91605,1,1.00 (1 0 0 0),,$888.00,,"$1,750","$2,350","$1,750","1,000",$1.75,1961,0,"Community,Laundry Area,Other,Room",No,1-Year,Unfurnished,,"28,000"
CV25245410MR,Apartment,387,387  N Mentor  #9,PASADENA,91106,1,1.00 (1 0 0 0),,$0.00,,"$1,795","$1,795","$1,795","9,216",$0.19,1965,1,Community,No,Month-to-Month,Unfurnished,626-255-1576,"10,830"
25611831,,1810,1810   Westholme Ave ,Los Angeles,90025,0,1.00 (0 1 0 0),,,,"$1,795","$1,795","$1,795",0,$0,1947,0,"Room,Community",Yes,12 Months,Unfurnished,310-401-4112,"3,500"
AR25248442MR,,1718,1718   Vine ST ,ALHAMBRA,91801,1,1.00 (1 0 0 0),,$0.00,200,"$1,800","$1,800","$1,800",750,$2.40,1959,1,"Gas Or Electric Dryer Hookup,Washer Hookup",,1-Year,Unfurnished,626-236-7778,"10,089"
BB25245095MR,Single Family,14317,14317   Herron  ,SYLMAR,91342,1,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,800",400,$4.50,1948,0,"Dryer,Dryer Included,Washer,Washer Included",No,"1-Year,Negotiable",Unfurnished,818-822-1519,500
DW25247071MR,Apartment,705,705   S St Louis St ,LOS ANGELES,90023,0,1.00 (1 0 0 0),,$100.00,,"$1,800","$1,800","$1,800",500,$3.60,1924,0,None,,Month-to-Month,Unfurnished,323-723-1546,"6,000"
CV25248094MR,Apartment,414,414  N San Gabriel AVE #2,AZUSA,91702,2,1.00 (1 0 0 0),,$500.00,,"$1,900","$2,000","$1,800","1,000",$1.80,1959,2,None,No,1-Year,Unfurnished,626-975-4104,"1,000"
MB25246476MR,,409,409   Calle Cinco  ,MONTEBELLO,90640,1,1.00 (1 0 0 0),1800,$0.00,,"$1,800","$1,800","$1,800",566,$3.18,1959,1,Community,No,1-Year,Unfurnished,562-328-6603,"5,198"
25610403,Apartment,105,105  W 106th St #111,Los Angeles,90003,1,4.00 (4 0 0 0),,,,"$1,700","$1,800","$1,800","3,544",$0.51,1923,0,Community,No,1+Year,Unfurnished,310-779-5490,"6,771"
WS25245173MR,Single Family,2323,2323  W Cedarwood ST ,WEST COVINA,91790,2,1.00 (1 0 0 0),,$0.00,,"$1,800","$3,000","$1,800",750,$2.40,1951,0,Gas Or Electric Dryer Hookup,No,1-Year,Unfurnished,626-251-7817,"7,590"
SR25248102MR,Condominium,5325,5325   Newcastle AVE #130,ENCINO,91316,0,1.00 (1 0 0 0),,$500.00,,"$1,850","$1,850","$1,850",471,$3.93,1985,2,Community,,1-Year,Unfurnished,818-917-8459,"103,146"
25610863,Apartment,10540,10540   Balboa Blvd #115,Granada Hills,91344,1,1.00 (1 0 0 0),,,,"$1,850","$1,850","$1,850",550,$3.36,1977,1,"Laundry Area,Room,Community",No,12 Months,Unfurnished,310-826-5595,"53,308"
25611493,Apartment,237,237   Marine St #C,Santa Monica,90405,0,1.00 (1 0 0 0),,,,"$1,850","$1,850","$1,850",300,$6.17,1912,1,None,No,12 Months,Unfurnished,310-826-5595,"2,004"
25610657,Apartment,5719,5719   Tilden Ave #A,Sherman Oaks,91401,1,1.00 (1 0 0 0),,,,"$1,875","$3,750","$1,875",,$0,1953,1,Community,Call,12 Months,Unfurnished,415-794-9592,"6,753"
25610021,,1025,1025   LOCUST AVE #7,LONG BEACH,90813,1,1.00 (1 0 0 0),,$500.00,,"$1,895","$2,000","$1,895",735,$2.58,1920,0,None,Yes,Other,Unfurnished,310-995-1314,"7,354"
SB25249088MR,Condominium,18307,18307   Burbank  ,TARZANA,91356,1,1.00 (1 0 0 0),,$500.00,,"$1,895","$1,895","$1,895",679,$2.79,1970,0,Community,,1-Year,Unfurnished,310-487-8196,"235,933"
PV25247598MR,Apartment,3330,3330  S Peck  #1,SAN PEDRO,90731,1,1.00 (1 0 0 0),,$0.00,,"$1,899","$1,899","$1,899",600,$3.17,1962,1,Laundry Area,,1-Year,Unfurnished,310-989-4466,"10,001"
SR25244801MR,Single Family,16609,16609   Simonds ST ,GRANADA HILLS,91344,1,1.00 (1 0 0 0),,$0.00,,"$1,900","$1,900","$1,900",329,$5.78,2022,0,None,No,1-Year,Unfurnished,818-200-9017,500
SR25249064MR,Single Family,409,409  W Harvard  #A,GLENDALE,91205,1,1.00 (1 0 0 0),,$300.00,50,"$1,900","$1,900","$1,900",650,$2.92,1920,0,"Gas Dryer Hookup,Washer Hookup",,1-Year,Unfurnished,,"6,400"
