MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
TR26190999MR,,2309,2309   schoolside  ,MONTEREY PARK,91754,0,1.00 (1 0 0 0),,$0.00,,$940,$890,$940,100,$9.40,1948,0,Laundry Area,No,1-Year,Unfurnished,714-713-0469,"7,246"
SR26192495MR,,6701,6701   Haskell  #3,VAN NUYS,91406,0,1.00 (1 0 0 0),,$0.00,,"$1,299","$1,299","$1,299",670,$1.94,1962,0,Community,,"1+Year,1-Year",Unfurnished,818-212-9499,"9,247"
PW26180014MR,,858,858 1/2  33rd WAY ,LONG BEACH,90806,0,1.00 (1 0 0 0),,$0.00,,"$1,350","$1,350","$1,350",455,$2.97,1944,0,None,No,"Month-to-Month,Other",Unfurnished,562-618-8202,
LG26191435MR,,15814,15814  S Vermont AVE #2,GARDENA,90247,0,1.00 (0 1 0 0),,$0.00,,"$1,450","$1,450","$1,450",250,$5.80,2024,0,None,No,1-Year,Unfurnished,949-861-0738,
RS26179892MR,,311,311  N Dwight AVE ,COMPTON,90220,0,1.00 (0 1 0 0),1600,$0.00,,"$1,450","$1,600","$1,450",150,$9.67,1926,0,None,No,1-Year,Unfurnished,323-594-5867,"2,812"
26939807,,613,613  S Prairie Ave #13,Inglewood,90301,0,1.00 (1 0 0 0),,,,"$1,497","$1,497","$1,497",,$0,1955,0,None,Call,1+Year,Unfurnished,310-710-0601,"8,255"
26922687,,315,315  N Coronado St ,Los Angeles,90026,1,1.00 (1 0 0 0),,,,"$1,525","$1,525","$1,525",0,$0,1929,0,None,No,1-Year,Unfurnished,213-814-9545,"9,558"
SR26189485MR,Apartment,1453,1453 101 St. W Century ST ,LOS ANGELES,90047,14,9.00 (9 0 0 0),,$0.00,50,"$1,575","$1,575","$1,575","5,842",$0.27,1956,0,None,No,1-Year,Unfurnished,213-445-2277,"7,308"
DW26190650MR,Single Family,12213,12213   Pine  ,NORWALK,90650,1,1.00 (1 0 0 0),,$0.00,,"$1,575","$1,575","$1,575",275,$5.73,1951,0,None,No,1-Year,Furnished,323-712-5012,"13,755"
26908299,,3968,3968   Verdugo Rd ,Los Angeles,90065,1,1.00 (1 0 0 0),,,,"$1,600","$1,600","$1,600",650,$2.46,1950,0,None,No,1+Year,Unfurnished,213-249-8949,"6,661"
SW26161742MR,Apartment,5743,5743   Klump  ,LOS ANGELES,91601,0,1.00 (1 0 0 0),,$500.00,50,"$1,600","$1,600","$1,600",350,$4.57,1988,0,Community,No,"1+Year,1-Year",Unfurnished,714-719-5598,"6,653"
GD26192533IT,,411,411   Myrtle #A  ,GLENDALE,91203,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",600,$2.67,1921,0,Community,,1-Year,Unfurnished,818-272-9965,"6,779"
PW26189970MR,,1404,1404   Dawley  ,LA PUENTE,91744,0,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,650","$1,650","1,305",$1.26,1956,0,None,No,1-Year,Unfurnished,310 489-8095,"7,761"
WS26174426MR,Combo - Res &amp; Com,11427,11427   Garvey AVE #D,EL MONTE,91732,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,650","$1,650",450,$3.67,1949,1,None,,1-Year,Unfurnished,3236577591,"10,724"
WS26190895MR,Townhouse,1003,1003   Simmons Ave ,EAST LOS ANGELES,90022,1,1.00 (1 0 0 0),,$0.00,100,"$1,650","$1,650","$1,650",415,$3.98,1949,1,Community,No,1-Year,Unfurnished,626-886-7089,415
26902631,,1238,1238  W Adams Blvd #6,Los Angeles,90007,0,1.00 (1 0 0 0),,,,"$1,675","$1,675","$1,675",500,$3.35,1908,0,Community,Call,12 Months,Both,,"11,759"
26902925,,1238,1238  W Adams Blvd #8,Los Angeles,90007,0,1.00 (1 0 0 0),,,,"$1,695","$1,695","$1,695",500,$3.39,1908,0,Community,Call,12 Months,Both,,"11,759"
SR26193002MR,Apartment,1025,1025  S Berendo ST #207,LOS ANGELES,90006,0,1.00 (1 0 0 0),,$0.00,,"$1,695","$1,695","$1,695",416,$4.07,2019,1,"In Closet,Laundry Closet Stacked,Stackable W/D Hookup",,1-Year,Unfurnished,818-201-8724,"5,904"
SB26190450MR,Apartment,1032,1032  W 15th ST ,SAN PEDRO,90731,1,1.00 (1 0 0 0),,$0.00,,"$1,749","$1,749","$1,749",468,$3.74,1925,0,"Dryer,Dryer Included,Gas Dryer Hookup,In Kitchen,Laundry Closet Stacked,Stackable W/D Hookup,Washer,Washer Included",No,1-Year,Unfurnished,310-490-2422,"6,076"
26929479,,914,914  S Gramercy Dr #D,Los Angeles,90019,1,1.00 (1 0 0 0),,,,"$1,750","$1,750","$1,750",620,$2.82,1953,1,Community,No,1+Year,Unfurnished,213-249-8949,"7,502"
AR26191156MR,Apartment,540,540  S 6th  #E,MONTEBELLO,90640,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",680,$2.57,1964,1,Laundry Area,No,1-Year,Unfurnished,626-255-7806,"10,432"
BB26192027MR,Apartment,611,611  E Santa Anita AVE ,BURBANK,91501,1,1.00 (1 0 0 0),,$0.00,,"$1,750","$1,750","$1,750",550,$3.18,1953,1,Community,No,1-Year,Unfurnished,818-399-4066,"7,716"
26920929,,1818,1818  N Kingsley Dr #17,Los Angeles,90027,1,1.00 (1 0 0 0),,,,"$1,795","$1,795","$1,795",650,$2.76,1953,0,Community,Call,1+Year,Unfurnished,310-625-3001,"11,351"
SR26192571MR,Single Family,17843,17843   Victory Blvd ,RESEDA,91335,0,1.00 (1 0 0 0),,$0.00,,"$1,795","$1,795","$1,795",400,$4.49,1950,0,Outside,,1-Year,,818-414-1555,"6,027"
26955471,,5361,5361   Russell Ave #305,Los Angeles,90027,1,1.00 (1 0 0 0),,,,"$1,795","$1,795","$1,795",600,$2.99,1963,1,"Laundry Area,Community",Yes,"1+Year,12 Months,Other,24 Months",Unfurnished,310-801-1242,"25,092"
26925401,,1478,1478  W 29th St ##2,Los Angeles,90007,0,1.00 (1 0 0 0),,,,"$1,795","$1,795","$1,795",400,$4.49,,0,None,Yes,1-Year,Unfurnished,310-402-8958,"5,626"
26918575,,1409,1409  S 12th  ,Los Angeles,90019,1,1.00 (1 0 0 0),,,,"$1,795","$1,800","$1,795",,$0,,1,Laundry Area,Call,1+Year,Unfurnished,213-221-9318,"7,000"
26932327,,1351,1351  N Orange Dr #117,Los Angeles,90028,1,1.00 (1 0 0 0),,,,"$1,795","$1,795","$1,795",589,$3.05,1977,0,Community,Call,1+Year,Unfurnished,310-429-4004,"23,767"
SR26191120MR,Apartment,12542,12542   Vanowen ST ,NORTH HOLLYWOOD,91605,1,1.00 (1 0 0 0),,$0.00,,"$1,795","$1,795","$1,795",700,$2.56,1954,1,Laundry Area,No,1-Year,Unfurnished,818-640-3776,"6,005"
26911407,,1603,1603  W 224th St #12,Los Angeles,90501,1,1.00 (1 0 0 0),,,,"$1,797","$1,797","$1,797",,$0,1980,0,Community,Call,1+Year,Unfurnished,310-710-0601,"16,204"
26933003,,820,820  S St Andrews Pl #303,Los Angeles,90005,1,1.00 (1 0 0 0),,,50,"$1,800","$1,800","$1,800",650,$2.77,1990,1,Community,No,1+Year,Unfurnished,213-255-1298,"7,500"
WS26191767MR,Single Family,1641,1641   Armington  ,HACIENDA HEIGHTS,91745,1,1.00 (1 0 0 0),,$0.00,,"$1,800","$1,800","$1,800",400,$4.50,2026,0,In Kitchen,No,"1+Year,1-Year",Unfurnished,626-786-3841,600
26892961,,3516,3516   Las Palmas Ave #GuestHS,Glendale,91208,0,1.00 (1 0 0 0),,,,"$1,800","$1,800","$1,800",350,$5.14,1940,0,Garage,No,1+Year,Unfurnished,310-428-8981,"6,458"
26924081,,460,460  S Spring St #907,Los Angeles,90013,1,1.00 (1 0 0 0),,,,"$1,800","$1,800","$1,800",470,$3.83,1912,0,Inside,Call,"1+Year,Negotiable",Unfurnished,310-430-1312,"30,796"
CV26191801MR,,806,806 1/2 W Bagnall ST ,GLENDORA,91740,1,1.00 (1 0 0 0),,$500.00,,"$1,800","$1,700","$1,800",360,$5,1952,2,"Gas Or Electric Dryer Hookup,Inside,Washer Hookup",Yes,1-Year,Unfurnished,626-328-4199,"7,696"
DW26189660MR,Apartment,1426,1426 1/2 W 83rd  ,LOS ANGELES,90047,1,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,825",700,$2.61,1924,0,None,No,1-Year,Unfurnished,323-326-0133,"6,678"
26957345,,1265,1265   Browning Blvd #C,Los Angeles,90037,1,1.00 (1 0 0 0),,,,"$1,833","$2,000","$1,833",600,$3.06,2026,0,In Unit,Yes,"1+Year,12 Months,24 Months",Unfurnished,310-801-1242,"7,766"
26921455,,833,833  N Kingsley Dr #2,Los Angeles,90029,1,1.00 (1 0 0 0),,,,"$1,850","$1,850","$1,850",750,$2.47,1957,1,Outside,Call,"1-Year,1+Year",Unfurnished,310-386-4398,"7,313"
26943223,Condominium,5460,5460   White Oak Ave #A105,Encino,91316,1,1.00 (1 0 0 0),,,,"$1,850","$1,850","$1,850",683,$2.71,1971,1,"Community,Laundry Area",Yes,"1+Year,1-Year,12 Months",Unfurnished,818-646-2667,"406,432"
SB26183647MR,,1547,1547   Del Amo BLVD ,TORRANCE,90501,1,1.00 (1 0 0 0),,$0.00,,"$1,850","$1,850","$1,850",580,$3.19,1944,1,"Dryer,Dryer Included,In Kitchen,Washer,Washer Included",,1-Year,Unfurnished,310-650-9121,"6,000"
WS26190804MR,Apartment,115,115  N Walnuthaven DR #3,WEST COVINA,91790,1,1.00 (1 0 0 0),,$0.00,,"$1,890","$1,890","$1,890",744,$2.54,1959,2,"Community,Room",,1-Year,Unfurnished,714-336-9906,"15,657"
AR26192341MR,Apartment,37,37  S Sierra Madre BLVD #G,PASADENA,91107,1,1.00 (1 0 0 0),,$400.00,,"$1,895","$1,895","$1,895",450,$4.21,1950,0,Community,,1-Year,Unfurnished,626-433-3252,"15,892"
