MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
SB26113481MR,Condominium,3105,3105  W Normandie AVE ,LOS ANGELES,90018,1,1.00 (1 0 0 0),,$300.00,100,"$1,100","$1,250","$1,100",180,$6.11,2020,5,"Dryer,Dryer Included",,1-Year,Furnished,310-562-8089,"6,500"
SB26113459MR,Condominium,1410,1410  W 37th PL ,LOS ANGELES,90018,1,1.00 (1 0 0 0),,$300.00,100,"$1,250","$1,250","$1,250",200,$6.25,2020,4,"Dryer,Dryer Included",,1-Year,Furnished,310-562-8089,"6,200"
26837779,,400,400  S Occidental Blvd #19,Los Angeles,90057,0,1.00 (1 0 0 0),,,,"$1,250","$1,250","$1,250",300,$4.17,,0,Community,Call,1+Year,Unfurnished,323-443-6005,0
26837731,,400,400  S Occidental Blvd #18,Los Angeles,90057,0,1.00 (1 0 0 0),,,,"$1,250","$1,250","$1,250",300,$4.17,,0,Community,Call,1+Year,Unfurnished,323-443-6005,0
26837901,,526,526  S Oxford Ave #100,Los Angeles,90020,0,1.00 (1 0 0 0),,,,"$1,350","$1,350","$1,350",500,$2.70,1930,0,Community,Yes,1+Year,Unfurnished,310-818-3246,"9,011"
PW26111717MR,Apartment,720,720   Atlantic AVE ,LONG BEACH,90813,0,1.00 (1 0 0 0),,$300.00,,"$1,395","$1,395","$1,395",450,$3.10,1920,0,None,,1-Year,Unfurnished,,"5,001"
26839339,,110,110  S Soto St #6,Los Angeles,90033,0,1.00 (1 0 0 0),,,,"$1,400","$1,400","$1,400",450,$3.11,1912,1,Community,No,1+Year,Unfurnished,833-832-6770,"6,452"
MB26115365MR,,209,209   N. 7th ST ,MONTEBELLO,90640,0,1.00 (1 0 0 0),,$0.00,10,"$1,400","$1,400","$1,400",440,$3.18,1954,0,None,No,Month-to-Month,Unfurnished,323-646-2100,"7,170"
MB26115191MR,,213,213   N 7th Street ,MONTEBELLO,90640,0,1.00 (1 0 0 0),,$0.00,10,"$1,400","$1,400","$1,400",440,$3.18,1954,0,None,No,Month-to-Month,Unfurnished,323-646-2100,
SR26112066MR,Single Family,45446,45446   17th East ST ,LANCASTER,93535,1,1.00 (1 0 0 0),,$500.00,,"$1,450","$1,450","$1,450",425,$3.41,1992,0,None,,"1+Year,1-Year",Unfurnished,661-350-4012,"6,973"
PW26114000MR,Apartment,7134,7134   Granger AVE #6,BELL GARDENS,90201,1,1.00 (1 0 0 0),,$0.00,,"$1,450","$1,450","$1,450",400,$3.63,1940,0,None,,1-Year,Unfurnished,323-403-7782,"14,549"
26837897,,537,537  S Kenmore Ave #400,Los Angeles,90020,1,1.00 (1 0 0 0),,,,"$1,450","$1,450","$1,450",450,$3.22,1926,0,Community,Yes,12 Months,Unfurnished,310-818-3246,"8,545"
DW26114059MR,Apartment,166,166  E 36th  ,LOS ANGELES,90011,1,1.00 (1 0 0 0),,$395.00,,"$1,490","$1,730","$1,490",500,$2.98,1922,0,None,,1-Year,Unfurnished,323-327-3330,"6,270"
26839511,,828,828  E 6th St ,Pomona,91766,1,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",650,$2.30,1923,0,None,No,1+Year,Unfurnished,909-900-8842,"1,000"
CV26114406MR,,22319,22319 1/4  Rashdall AVE ,CARSON,90745,0,1.00 (1 0 0 0),,$0.00,15,"$1,500","$2,250","$1,500",234,$6.41,2024,0,None,No,1-Year,Unfurnished,310-617-0421,
26838763,,11472,11472   VENTURA  #4,STUDIO CITY,91604,0,1.00 (1 0 0 0),,,,"$1,599","$1,599","$1,599",380,$4.21,1941,1,None,Yes,1+Year,Unfurnished,818-640-3863,"6,248"
