MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
CV25152662MR,Condominium,2331,2331   Lillyvale AVE #151,LOS ANGELES,90032,2,2.00 (2 0 0 0),,$0.00,50,"$1,250","$1,250","$1,250",813,$1.54,1983,2,"Dryer,Dryer Included,Washer,Washer Included",No,1-Year,Unfurnished,626-533-5833,"59,528"
P1-23134PF,Apartment,210,210 .5 W Beacon St #3,ALHAMBRA,91801,0,1.00 (0 1 0 0),,$0.00,,"$1,300","$1,300","$1,300",250,$5.20,1939,0,"Laundry Area,Room",No,1-Year,Unfurnished,(310) 402-3567,"4,999"
SR25155592MR,Single Family,45463,45463   17th ST ,LANCASTER,93535,1,1.00 (1 0 0 0),,$500.00,100,"$1,300","$1,300","$1,300",463,$2.81,1992,0,"Dryer,Dryer Included,Gas Dryer Hookup,Gas Or Electric Dryer Hookup,Washer,Washer Included",,"1+Year,1-Year",Unfurnished,661-350-4012,"6,673"
25563609,Single Family,8517,8517   Reading Ave ,Los Angeles,90045,0,1.00 (1 0 0 0),,,,"$1,350","$1,350","$1,350",,$0,,0,None,No,1+Year,Unfurnished,310-429-4004,223
CV25155746MR,,11713,11713   Killian ST ,EL MONTE,91732,1,1.00 (1 0 0 0),,$0.00,,"$1,495","$1,495","$1,495",400,$3.74,1965,0,"Dryer,Dryer Included,Washer,Washer Included",No,"1-Year,Month-to-Month,Negotiable",Furnished,626-228-8485,"7,224"
BB25155380MR,,642,642  W Glenoaks BLVD #B,GLENDALE,91202,0,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",200,$7.50,1940,0,Laundry Area,,1-Year,Unfurnished,818-800-4640,
AR25154659MR,,61,61  N Chester AVE #B,PASADENA,91106,0,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",350,$4.29,1907,1,"Laundry Area,Room",No,1-Year,Unfurnished,626-822-1491,"14,538"
PW25154389MR,Apartment,4612,4612   Florence AVE #17,BELL,90201,0,1.00 (1 0 0 0),,$0.00,,"$1,500","$1,500","$1,500",392,$3.83,1964,1,Laundry Area,Yes,1-Year,Unfurnished,,"38,105"
25564425,,1222,1222  N Alexandria Ave ,Los Angeles,90029,1,1.00 (1 0 0 0),,,,"$1,550","$1,550","$1,550",250,$6.20,,0,In Unit,Yes,1+Year,Unfurnished,562-222-9661,"6,402"
BB25155345MR,,642,642  W Glenoaks BLVD #A,GLENDALE,91202,0,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",200,$8,1940,0,Laundry Area,,1-Year,Unfurnished,818-800-4640,
GD25154123IT,Apartment,228,228  S Kenwood ST #108,GLENDALE,91205,0,1.00 (1 0 0 0),,$0.00,,"$1,650","$1,500","$1,650",500,$3.30,1927,0,Community,No,1-Year,Unfurnished,818-437-2433,"7,497"
SR25155852MR,Apartment,12126,12126   Oxnard ST #9,NORTH HOLLYWOOD,91606,0,1.00 (1 0 0 0),,$500.00,75,"$1,650","$1,650","$1,650",450,$3.67,1964,0,"Community,Laundry Area",,1-Year,Unfurnished,818-239-6320,"7,853"
PW25156180MR,Condominium,120,120   Alamitos AVE #10,LONG BEACH,90802,1,1.00 (1 0 0 0),,$0.00,,"$1,695","$1,695","$1,695",570,$2.97,1959,0,Other,No,Month-to-Month,Unfurnished,,"14,274"
CV25154528MR,Apartment,208,208  W 90th ST #2,LOS ANGELES,90003,1,1.00 (1 0 0 0),,$100.00,25,"$1,700","$1,700","$1,700",450,$3.78,1964,0,Inside,,Month-to-Month,Unfurnished,213-999-0073,"5,043"
