MLS,Prop Subtype,St #,Address,City,Zip,BR,Baths(FTHQ),Other Deposit,Pet Deposit,Key Deposit,OLP,Security Deposit,LP,SqFt,LP $/SqFt,YB,# Prking Spaces,Laundry,Pets,Lease Terms,Furnished,Seller's Agent 1 Cell,Lot Sz
25557195,Apartment,920,920  S Hobart Blvd #404,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,200","$1,200","$1,200",500,$2.40,,0,Community,Yes,1+Year,Unfurnished,213-285-7934,"9,028"
25557199,Apartment,920,920  S Hobart Blvd #104,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,200","$1,200","$1,200",500,$2.40,,0,Community,Yes,1+Year,Unfurnished,213-285-7934,"9,028"
25557201,Apartment,920,920  S Hobart Blvd #206,Los Angeles,90006,0,1.00 (1 0 0 0),,,,"$1,200","$1,200","$1,200",500,$2.40,,0,Community,Yes,1+Year,Unfurnished,213-285-7934,"9,028"
25559087,,814,814  S Hobart Blvd #406,Los Angeles,90005,0,1.00 (1 0 0 0),,,,"$1,300","$1,300","$1,300",325,$4,1930,1,"Community,Laundry Area,Other",Yes,1+Year,Unfurnished,310-500-5621,"9,043"
25558521,,5641,5641  N Halbrent Ave #10,Sherman Oaks,91411,0,1.00 (1 0 0 0),,,,"$1,395","$1,395","$1,395","8,988",$0.16,1961,1,"Community,Outside",Call,1+Year,Unfurnished,310-560-6666,"12,073"
25559151,,11472,11472   VENTURA  #3,STUDIO CITY,91604,0,1.00 (1 0 0 0),,,,"$1,449","$1,449","$1,449",200,$7.25,1941,1,None,Yes,1+Year,Unfurnished,818-640-3863,"6,248"
25558133,Apartment,11472,11472   VENTURA  #2,STUDIO CITY,91604,0,1.00 (1 0 0 0),,,,"$1,495","$1,495","$1,495",200,$7.48,1941,1,None,Call,1+Year,Unfurnished,818-640-3863,"6,250"
25557977,,6538,6538   Sepulveda Blvd ,Van Nuys,91411,0,1.00 (1 0 0 0),,,,"$1,500","$1,500","$1,500",500,$3,1957,1,Community,Yes,12 Months,Unfurnished,213-820-1335,"19,129"
AR25144293MR,Apartment,5917,5917   Primrose AVE ,TEMPLE CITY,91780,1,1.00 (1 0 0 0),,$0.00,25,"$1,500","$1,500","$1,500",572,$2.62,1949,1,"In Kitchen,Washer Hookup",No,1-Year,Unfurnished,626-215-7757,"8,537"
25559251,,1224,1224 1/2 N Alexandria Ave ,Los Angeles,90029,1,1.00 (1 0 0 0),,,,"$1,550","$1,550","$1,550",,$0,,0,Inside,No,1+Year,Unfurnished,562-222-9661,"6,402"
CV25143465MR,,660,660   E 6Th ST ,AZUSA,91702,1,1.00 (1 0 0 0),,$0.00,,"$1,600","$1,600","$1,600",600,$2.67,1963,1,"Gas Dryer Hookup,Washer Hookup",No,1-Year,Unfurnished,,"5,993"
25557749,,12022,12022  W Washington Blvd #1,Los Angeles,90066,0,1.00 (1 0 0 0),,,,"$1,600","$1,500","$1,600",410,$3.90,,8,Community,Call,1+Year,Unfurnished,310-721-8200,"7,072"
